Merchantnumber,recency,frequency,monetary_value
62001420300002,1,25,127911004
62001810100003,0,12,17571004
62001820100006,3,11,256450000
62001821200001,4,3,120002004
62001821400002,0,34,733651004
62001823200001,15,1,1004
62001823700002,18,3,3014
62001824200001,2,20,64156500
62001824900001,1,13,456745501
62006362000035,3,29,308151004
62006362000038,3,5,3551004
62006362000039,4,10,2701004
62006362000040,3,11,448401004
62006362000046,1,22,449428012
62006362000052,0,500,636323504
62006362000053,4,12,37961012
62006362000058,1,4,6651004
62006362000062,8,5,1202155004
62006362000063,17,6,553826004
62006362000064,0,10,716002004
62006362000066,3,24,2636181004
62006362000070,27,15,65111004
62006362000073,3,7,4761004
62006362000077,0,22,100846004
62006362000079,6,97,227193004
62006362000082,1,7,366021004
62006362000086,4,1,1004
62006362000087,4,22,6217569004
62006362000089,3,16,1043458708
62006362000090,4,1,1004
62006362000095,3,1,1004
62006362000103,6,4,172001004
62006362000106,0,1779,320315758
62006362000120,23,2,51004
62006362000122,3,358,314952008
62006362000124,1,13,2044001004
62006362000129,1,52,84601004
62006362000136,0,17,103016004
62006362000137,4,26,14866608
62006362000143,1,69,833619303
62006362000149,2,57,204451004
62006362000150,1,304,1152354504
62006362000152,3,16,135512009
62006362000156,8,65,228726004
62006362000157,1,183,29353004
62006362000164,4,38,113696004
62006362000172,1,205,217765004
62006362000177,1,40,141300004
62006362000180,3,3,90001004
62006362000183,6,64,505287011
62006362000190,2,16,3476504
62006362000195,0,49,891878592
62006362000200,6,9,129562004
62006362000207,12,4,100426004
62006362000208,1,50,37211004
62006362000216,1,39,13021004
62006362000219,1,83,77466004
62006362000221,0,93,72841004
62006362000222,1,40,71431004
62006362000225,17,4,151004
62006362000226,27,1,1004
62006362000229,5,7,510001004
62006362000230,0,59,16002012
62006362000234,1,19,37851004
62006362000237,10,1,1004
62006362000239,0,124,187734009
62006362000240,10,5,209734008
62006362000247,3,11,1620001004
62006362000249,9,22,5251004
62006362000253,1,14,21451004
62006362000257,0,19,334401004
62006362000259,0,78,1010684295
62006362000260,4,6,412001004
62006362000263,0,18,2704962004
62006362000264,26,2,5258004
62006362000266,1,12,1062241004
62006362000267,2,33,418542004
62006362000271,3,1,1004
62006362000273,18,13,8019504
62006362000290,12,53,128530508
62006362000295,1,9,158701004
62006362000300,18,1,1004
62006362000302,13,9,278003013
62006362000313,2,43,4056251004
62006362000316,1,24,1301031004
62006362000319,23,1,1004
62006362000325,27,1,1004
62006362000326,3,15,605501004
62006362000337,0,3,23502008
62006362000340,2,43,4624596004
62006362000346,1,88,44815018
62006362000356,1,124,191800944
62006362000359,1,89,43732132
62006362000366,1,13,22186004
62006362000367,1,31,61191004
62006362000369,2,32,454196004
62006362000370,10,6,137951004
62006362000385,0,93,85666004
62006362000386,2,8,156001004
62006362000399,2,8,69401004
62006362000400,0,16,3503001004
62006362000406,2,14,1521852004
62006362000407,0,81,34136004
62006362000412,6,5,951301004
62006362000416,1,28,436976704
62006362000428,1,9,350351004
62006362000440,5,5,2000000
62006362000443,0,143,115191004
62006362000454,1,62,47196004
62006362000455,6,15,48080004
62006362000464,2,10,690002004
62006362000467,0,22,645501004
62006362000469,0,45,647661004
62006362000477,22,2,5100000
62006362000483,13,5,170301004
62006362000489,2,6,340001004
62006362000490,12,2,11004
62006362000491,2,30,420728387
62006362000492,0,245,318533568
62006362000501,1,12,7751004
62006362000541,3,5,46151004
62006362000542,2,104,50871004
62006362000543,10,24,84221004
62006362000544,1,73,46981004
62006362000550,0,120,1055742004
62006362000551,0,6,915002004
62006362000552,5,14,242556761
62006362000558,0,83,367161004
62006362000573,11,77,1600101004
62006362000580,3,15,1705298004
62006362000584,2,17,1204411004
62006362000590,2,36,3681701004
62006362000591,1,11,460581004
62006362000592,1,111,8240504
62006362000596,11,26,20661004
62006362000603,0,67,17817009
62006362000604,18,21,10461004
62006362000616,1,1,1004
62006362000620,2,7,84051004
62006362000636,1,28,1445771004
62006362000637,2,53,66936004
62006362000642,1,12,32279004
62006362000644,1,16,151376004
62006362000646,10,10,822917004
62006362000650,2,10,495281004
62006362000655,27,1,1004
62006362000656,0,117,139592004
62006362000657,5,7,503027004
62006362000658,2,157,7257315304
62006362000662,4,12,1588101004
62006362000665,1,46,78508504
62006362000666,1,379,255342004
62006362000674,2,9,435851004
62006362000676,2,21,444801004
62006362000679,1,98,70397004
62006362000681,1,15,19001004
62006362000683,1,56,165068004
62006362000686,25,1,1004
62006362000691,1,54,308530004
62006362000692,19,3,61081004
62006362000699,19,2,5001004
62006362000708,4,13,175075004
62006362000710,23,1,1004
62006362000711,1,107,16655821737
62006362000716,3,9,306709004
62006362000729,1,6,24823026
62006362000731,2,11,368761004
62006362000736,1,158,94271004
62006362000739,0,151,161182012
62006362000741,0,222,92814005
62006362000743,4,6,24874004
62006362000744,1,28,264001004
62006362000748,16,1,2000000
62006362000749,0,64,1210307000
