Merchantnumber,recency,frequency,monetary_value
62001420300002,0,15,75251004
62001810100003,2,21,28718004
62001820100006,13,11,509001004
62001821200001,23,1,1004
62001821400002,2,51,105111004
62001823200001,7,16,974201004
62001824200001,2,3,245000000
62001824900001,9,10,272232476
62006362000035,0,45,327251004
62006362000038,0,22,17811004
62006362000039,0,36,36061004
62006362000040,2,8,553301004
62006362000046,0,47,2414718078
62006362000052,0,478,422992004
62006362000053,0,32,38554701
62006362000058,4,7,26701004
62006362000062,2,14,2700001004
62006362000063,0,459,632467004
62006362000064,2,14,919301004
62006362000066,0,3,15101004
62006362000070,8,1,1004
62006362000073,2,11,24471004
62006362000077,0,3,301401004
62006362000079,0,139,308401004
62006362000082,7,4,179001004
62006362000086,2,6,2001004
62006362000087,0,40,4898120204
62006362000089,4,8,424354564
62006362000090,4,51,4206221004
62006362000095,2,3,143004
62006362000103,4,10,729001004
62006362000106,0,2104,347979004
62006362000120,0,22,151551004
62006362000122,0,533,405354018
62006362000124,30,2,155001004
62006362000131,0,1,1004
62006362000136,13,4,60051004
62006362000137,0,662,874145004
62006362000143,0,115,517880000
62006362000149,0,67,356036004
62006362000150,0,451,1941061164
62006362000152,0,52,57617027
62006362000156,0,34,42911004
62006362000157,0,298,42566004
62006362000164,1,56,30998004
62006362000172,0,218,205551004
62006362000177,0,282,121375004
62006362000180,2,3,119651004
62006362000183,28,1,1004
62006362000190,0,20,55394904
62006362000195,0,64,1073966004
62006362000200,4,7,129566004
62006362000207,6,2,25001004
62006362000208,3,4,226004
62006362000216,2,47,22001004
62006362000219,0,63,87035004
62006362000221,0,35,30182341
62006362000222,0,62,192046004
62006362000225,21,1,1004
62006362000229,8,4,325001004
62006362000230,22,1,1004
62006362000234,0,27,477551004
62006362000237,0,4,10361004
62006362000239,0,405,76864504
62006362000240,23,1,1004
62006362000247,0,8,920001004
62006362000249,22,1,1004
62006362000253,6,6,119101004
62006362000257,1,4,4019
62006362000259,0,89,587031004
62006362000260,1,10,393504019
62006362000263,0,35,8020092008
62006362000264,30,1,1004
62006362000267,0,68,2446275004
62006362000271,1,12,445004019
62006362000273,7,6,1541004
62006362000290,0,151,468520504
62006362000295,12,10,149531004
62006362000300,7,1,1004
62006362000302,0,46,3399994019
62006362000313,4,46,7294991004
62006362000316,0,58,1581690004
62006362000319,25,1,1004
62006362000325,30,1,1004
62006362000326,0,21,1068391004
62006362000337,0,38,1010641004
62006362000340,14,2,300001004
62006362000346,1,112,71386004
62006362000348,24,1,1004
62006362000356,0,201,214542704
62006362000359,0,120,87321004
62006362000366,8,10,23691004
62006362000367,3,1,1004
62006362000369,0,11,71768504
62006362000370,0,12,162481004
62006362000385,0,189,133156004
62006362000386,3,43,69361004
62006362000399,0,19,76801004
62006362000400,0,15,602331004
62006362000406,18,2,100001004
62006362000407,0,69,17762153
62006362000412,2,13,2796561004
62006362000416,2,21,1849728004
62006362000440,16,3,17001004
62006362000443,0,119,86916004
62006362000454,8,36,38526004
62006362000455,0,11,159901004
62006362000464,0,36,1904104016
62006362000467,0,25,524754016
62006362000469,3,49,5494074016
62006362000470,0,5,85101004
62006362000477,18,28,13800000
62006362000489,6,4,4016
62006362000490,6,5,5020
62006362000491,0,35,244967681
62006362000492,2,3,296004
62006362000501,1,19,12661004
62006362000541,27,1,1004
62006362000542,0,82,244751004
62006362000543,0,37,157021004
62006362000544,2,94,47931004
62006362000550,0,116,542854016
62006362000551,7,5,33004016
62006362000552,27,2,1001004
62006362000558,0,19,54374016
62006362000573,0,4,12041004
