Merchantnumber,recency,frequency,monetary_value
62001420300002,1,31,106361004
62001810100003,3,15,16235004
62001820100006,3,3,380850000
62001821200001,30,1,1004
62001821400002,0,45,763708004
62001823200001,0,12,188603005
62001823700002,8,1,1004
62001824200001,1,17,76548000
62001824900001,25,2,5225638
62006362000035,0,29,341351004
62006362000038,2,3,1801004
62006362000039,9,7,17701004
62006362000040,0,8,585703009
62006362000046,0,147,1362060004
62006362000052,0,429,481567504
62006362000053,18,2,10881004
62006362000058,5,8,32500000
62006362000062,0,9,2950001004
62006362000063,1,477,1563720004
62006362000064,8,16,3387001004
62006362000066,18,5,146592004
62006362000073,4,12,12701004
62006362000077,1,25,72441004
62006362000079,0,61,139001004
62006362000082,0,5,319480000
62006362000087,0,22,5415910500
62006362000089,1,9,1658001004
62006362000090,1,2,51606000
62006362000095,9,6,50000000
62006362000103,4,7,608001004
62006362000106,0,2041,322865504
62006362000120,20,1,1004
62006362000122,0,446,311005022
62006362000124,12,10,1119201004
62006362000129,0,35,49231004
62006362000136,1,15,873191004
62006362000137,0,48,421911004
62006362000143,0,50,405210000
62006362000149,1,43,372171004
62006362000150,1,307,1202027254
62006362000152,1,49,1708234454
62006362000156,1,45,185202004
62006362000157,0,198,30176004
62006362000164,8,12,23371004
62006362000172,0,160,75096004
62006362000177,7,23,63462008
62006362000180,5,3,105001004
62006362000183,25,1,1004
62006362000190,1,14,3774004
62006362000195,0,24,629612288
62006362000200,0,11,181071004
62006362000207,7,4,186001004
62006362000208,4,15,4082504
62006362000216,0,38,54902005
62006362000219,0,104,143914004
62006362000221,0,119,227367004
62006362000222,0,44,79211004
62006362000225,29,6,121004
62006362000226,27,1,1004
62006362000229,12,6,630001004
62006362000230,0,82,26495004
62006362000234,4,14,35541004
62006362000237,0,7,3566004
62006362000239,0,75,19166004
62006362000240,4,3,220101004
62006362000247,1,41,1608924004
62006362000249,1,10,91004
62006362000253,1,13,23071004
62006362000257,0,24,370802004
62006362000259,0,68,1161152004
62006362000260,4,4,5204092
62006362000263,5,16,2305001004
62006362000264,26,1,1004
62006362000266,2,5,296201004
62006362000267,0,107,1571355004
62006362000271,22,10,200002004
62006362000273,0,15,8331004
62006362000290,18,2,2008
62006362000295,0,11,438731004
62006362000300,11,2,181004
