Merchantnumber,recency,frequency,monetary_value
62001420300002,0,29,92581337
62001810100003,0,30,21631008
62001820100006,3,6,180401004
62001821200001,10,5,5019
62001821400002,0,21,51601004
62001823200001,0,2,11004
62001823700002,0,2,11004
62001824200001,1,3,12000000
62001824900001,5,5,146297004
62006362000035,0,21,96501004
62006362000038,5,3,5001004
62006362000039,1,3,5199004
62006362000040,1,15,970901004
62006362000046,1,5,25814017
62006362000052,0,418,577210508
62006362000053,0,42,102440884
62006362000058,6,10,378501004
62006362000062,0,10,1148859004
62006362000063,1,20,389917004
62006362000064,2,18,2056001004
62006362000066,1,8,97881004
62006362000070,6,2,2014
62006362000073,0,2,221004
62006362000076,1,4,13015
62006362000077,0,64,628194016
62006362000079,0,76,153101004
62006362000082,2,8,558672008
62006362000086,2,3,12008
62006362000087,1,14,1803561228
62006362000089,5,4,199961406
62006362000090,2,23,1353002008
62006362000095,2,3,12008
62006362000103,7,4,120001004
62006362000106,0,1547,290596927
62006362000120,0,288,219041004
62006362000122,0,245,225151004
62006362000124,8,9,737603016
62006362000129,0,50,75164012
62006362000136,1,20,179481004
62006362000137,0,65,436152014
62006362000143,0,28,751335269
62006362000149,0,31,106945954
62006362000150,0,317,1531045004
62006362000152,0,62,526428004
62006362000156,7,41,101531004
62006362000157,1,3,3014
62006362000164,13,9,1611004
62006362000172,0,64,40426004
62006362000177,0,125,184656004
62006362000180,2,2,40001004
62006362000183,6,2,11004
62006362000190,2,7,1127004
62006362000195,2,12,107431004
62006362000200,2,9,130710004
62006362000207,0,11,147304004
62006362000208,1,13,26079004
62006362000216,0,37,16947356
62006362000219,0,70,71178004
62006362000221,0,54,47421004
62006362000222,0,41,68673004
62006362000225,12,6,76004
62006362000226,1,4,2411004
62006362000229,5,6,1772001004
62006362000230,0,27,12241000
62006362000234,10,6,20561004
62006362000237,5,1,1004
62006362000239,0,140,14685004
62006362000240,5,7,272501004
62006362000247,2,14,1437501004
62006362000249,12,1,1004
62006362000253,5,10,601004
62006362000257,1,11,167501004
62006362000259,0,52,333825736
62006362000260,11,2,100001004
62006362000263,3,11,1610011004
62006362000264,14,1,1004
62006362000266,2,12,1977101004
62006362000267,0,28,218174004
62006362000271,29,2,550000000
62006362000273,10,12,8751004
62006362000290,0,52,199600004
62006362000295,0,7,722451004
62006362000300,1,1,1004
62006362000302,0,5,159802008
62006362000313,2,20,1566201004
62006362000316,0,24,591101004
62006362000319,3,1,1004
62006362000325,21,1,1004
62006362000326,5,10,439001004
62006362000337,0,18,303551004
62006362000340,3,8,599352004
62006362000346,4,31,14502012
62006362000348,6,2,11004
62006362000356,0,101,136279004
62006362000359,3,20,19860026
62006362000366,3,16,22016004
62006362000367,0,24,23751004
62006362000369,0,40,85161504
62006362000370,0,2,2001004
62006362000385,0,113,102391004
62006362000386,2,14,229032012
62006362000399,8,5,70004024
62006362000400,3,19,2573216026
62006362000406,2,8,544801004
62006362000407,0,55,18069004
62006362000412,6,4,438002012
62006362000416,1,10,295939004
62006362000428,12,19,218252012
62006362000440,1,8,210001004
62006362000443,0,103,125171004
62006362000454,1,36,149086004
62006362000455,1,15,32848004
62006362000464,0,5,285001004
62006362000467,0,13,294701004
62006362000469,1,21,354701004
62006362000470,12,1,1004
62006362000477,6,3,3011004
62006362000481,8,1,1004
62006362000483,3,2,241004
62006362000489,7,6,188801004
62006362000490,14,2,201004
62006362000491,0,16,246263063
62006362000492,0,70,54524004
62006362000501,5,8,6351004
62006362000541,10,4,14621004
62006362000542,0,71,36901004
62006362000543,0,25,219841004
62006362000544,0,47,19321004
62006362000550,0,78,533551004
62006362000551,17,1,1004
62006362000552,3,10,434501004
62006362000558,0,66,179361004
62006362000573,0,99,1446701004
62006362000580,6,3,36959004
62006362000590,2,10,421221004
62006362000591,2,5,135801004
62006362000592,0,28,31287013
62006362000596,0,10,5811004
62006362000603,13,2,2009
62006362000604,0,42,37191004
62006362000616,6,3,7002008
62006362000619,8,1,1004
62006362000620,1,15,296841004
62006362000636,0,48,1390463004
62006362000637,0,39,185386004
62006362000642,0,9,6616004
62006362000644,2,1,1004
62006362000646,1,1,1004
62006362000650,5,2,30001004
62006362000655,5,1,1004
62006362000656,0,62,721333008
62006362000657,3,5,34501004
62006362000658,0,121,5223294004
62006362000662,1,9,506401004
62006362000665,1,6,122041004
62006362000666,0,50,23261004
62006362000674,15,2,451004
62006362000676,1,10,93601004
62006362000679,0,42,43163004
62006362000681,3,5,20001004
62006362000683,7,11,92936004
62006362000686,0,1,1004
62006362000691,0,17,144018804
62006362000692,16,1,1004
62006362000699,0,2,501004
62006362000708,7,1,1004
62006362000710,5,2,2005
62006362000711,0,90,17854973675
62006362000716,1,6,202211004
62006362000729,2,7,25821515
62006362000731,12,3,25471004
62006362000736,0,83,70511004
62006362000739,0,31,24813013
62006362000741,0,42,66845012
62006362000743,1,3,1261004
62006362000744,0,16,106001004
62006362000748,0,3,270001004
62006362000749,0,32,757765000
62006362000752,0,12,441551004
62006362000753,0,29,31112008
62006362000757,1,18,187581004
62006362000758,13,3,3251004
62006362000759,0,23,7141004
62006362000760,1,7,106063004
62006362000767,0,51,5722349353
62006362000769,15,7,38611004
62006362000773,0,56,999691004
62006362000779,0,240,702059690
62006362000787,0,103,148541004
62006362000790,0,39,30723865
62006362000799,1,54,74031004
62006362000802,0,210,140973004
62006362000814,0,122,51721004
62006362000815,0,78,99551004
62006362000824,0,19,445501004
62006362000827,0,274,1574121004
62006362000831,0,14,6536004
62006362000833,16,2,17001004
62006362000837,1,5,41301004
62006362000863,1,31,266536004
62006362000869,15,1,1004
62006362000870,6,2,15001004
62006362000872,17,1,1004
62006362000878,0,14,255511004
62006362000902,1,126,396325189
62006362000912,3,8,961004
62006362000913,0,6,167971004
62006362000925,9,5,5952012
62006362000940,19,43,1201266000
62006362000948,3,8,19352012
62006362000962,2,11,526531004
62006362000963,1,36,68796004
62006362000964,0,22,95001004
