Merchantnumber,recency,frequency,monetary_value
62001420300002,7,14,38942009
62001810100003,0,23,45001004
62001820100006,4,5,247350000
62001821200001,25,1,1004
62001821400002,0,52,214631004
62001823200001,1,26,1563801004
62001824200001,1,17,34479500
62001824900001,2,18,602588034
62006362000035,5,16,165001004
62006362000038,0,14,20621004
62006362000039,0,49,67731004
62006362000040,8,3,40001004
62006362000046,0,83,2255573012
62006362000052,0,466,704461541
62006362000053,0,41,57086016
62006362000058,3,2,2001004
62006362000062,1,9,2950001004
62006362000063,0,738,449671004
62006362000064,0,6,353001004
62006362000066,1,12,662751004
62006362000073,0,13,7616004
62006362000077,10,6,10001004
62006362000079,0,98,206451004
62006362000082,0,4,233001004
62006362000086,9,1,1004
62006362000087,0,36,7247240094
62006362000089,5,8,306141053
62006362000090,0,8,530001004
62006362000095,17,3,3000000
62006362000103,9,2,20801004
62006362000106,0,2290,428647804
62006362000120,0,7,240091004
62006362000122,0,494,382801004
62006362000124,25,2,12001004
62006362000129,22,13,13751004
62006362000136,0,11,48989004
62006362000137,0,264,991121004
62006362000143,0,48,631876000
62006362000149,0,61,285000761
62006362000150,0,183,1307376504
62006362000152,2,21,478601004
62006362000156,0,28,136586004
62006362000157,0,198,39821004
62006362000164,7,26,36631004
62006362000172,6,142,78540382
62006362000177,0,76,333925004
62006362000180,21,2,140001004
62006362000183,10,1,1004
62006362000190,4,6,3287004
62006362000195,1,27,341031004
62006362000200,7,6,128561004
62006362000207,11,2,11004
62006362000208,10,1,1004
62006362000216,0,35,53096005
62006362000219,0,129,159394017
62006362000221,0,105,71751004
62006362000222,0,50,92240004
62006362000225,1,4,36004
62006362000226,27,5,10201004
62006362000229,12,5,950001004
62006362000230,3,26,6146004
62006362000234,1,12,25441004
62006362000237,11,10,6031004
62006362000239,0,329,36567004
62006362000240,8,4,215001004
62006362000247,2,22,2372121004
62006362000249,2,18,166004
62006362000253,3,16,299941306
62006362000257,14,17,213951004
62006362000259,0,62,732701004
62006362000260,3,5,195001004
62006362000263,3,19,1274201004
62006362000264,7,2,1001004
62006362000266,17,1,1004
62006362000267,0,78,1855258004
62006362000271,9,3,550001004
62006362000273,6,27,21061004
62006362000290,18,1,1004
62006362000295,1,14,113191004
62006362000300,2,5,56291004
62006362000302,2,38,1940501004
62006362000313,1,31,3971401004
62006362000316,0,32,956084504
62006362000319,16,4,24001004
62006362000325,25,1,1004
62006362000326,4,15,1038001004
62006362000337,1,41,497902004
62006362000340,0,22,1754177004
62006362000346,0,122,51251004
62006362000348,18,1,1004
62006362000356,0,158,341574004
62006362000359,0,46,54471004
62006362000366,3,14,27534004
62006362000367,5,18,20001004
62006362000369,3,14,153712004
62006362000370,1,19,474851004
62006362000385,0,125,153911004
62006362000386,4,12,188103012
62006362000399,2,5,90001004
62006362000400,1,6,205311004
62006362000406,7,2,869004
62006362000407,0,54,15868013
62006362000412,2,15,3535801004
62006362000416,0,15,873263851
62006362000428,5,3,65001004
62006362000440,25,1,1004
62006362000443,5,36,51421004
62006362000454,1,53,69730004
62006362000455,1,37,498513004
62006362000464,0,16,1586901004
62006362000467,0,26,541401004
62006362000469,0,21,372712009
62006362000470,26,1,1004
62006362000477,0,8,2740000
62006362000489,23,2,38001004
62006362000490,23,1,1004
62006362000491,0,43,1088025454
62006362000492,12,142,106402765
62006362000501,18,3,501004
