Merchantnumber,recency,frequency,monetary_value
62006362001150,3,24,3364690004
62006362001157,24,1,1004
62006362001161,14,9,668006004
62006362001162,0,4,103001004
62006362001164,0,30,1464121004
62006362001166,0,18,117861004
62006362001167,7,2,38000000
62006362001176,11,14,318506026
62006362001177,3,1,2275000
62006362001180,0,102,632062004
62006362001201,0,310,246355004
62006362001213,28,1,1004
62006362001227,0,39,1111811004
62006362001235,11,18,11742004
62006362001237,4,113,192801004
62006362001239,28,1,1004
62006362001241,4,18,57501004
62006362001249,0,58,24683363
62006362001252,1,71,29961004
62006362001261,1,22,220921004
62006362001262,0,117,101493254
62006362001275,0,32,238981004
62006362001280,12,3,3012
62006362001281,5,7,94004016
62006362001285,9,26,16701004
62006362001319,14,1,1004
62006362001320,0,9,117861004
62006362001334,6,1,1004
62006362001350,1,4,621004
62006362001368,0,171,1060661004
62006362001389,0,44,262851004
62006362001394,0,141,80566004
62006362001398,0,403,236550861
62006362001400,0,366,90905004
62006362001404,20,2,1001004
62006362001408,0,32,297161004
62006362001425,3,33,402211004
62006362001431,11,7,20401004
62006362001454,0,7,160501004
62006362001457,19,3,5001004
62006362001459,13,5,47501004
62006362001467,7,6,341501004
62006362001470,4,3,18004
62006362001472,21,1,1004
62006362001478,0,150,98741004
62006362001485,0,434,350491013
62006362001506,1,10,691004
62006362001525,1,7,3301004
62006362001534,0,93,13933008
62006362001548,1,14,946004
62006362001551,0,17,37111004
62006362001553,6,21,2839570909
62006362001567,0,23,35011004
62006362001568,5,4,27121004
62006362001570,14,120,20015004
62006362001571,14,3,16101004
62006362001578,4,1,1004
62006362001579,29,3,273000000
62006362001583,0,31,311918169
62006362001585,0,31,10848004
62006362001587,0,104,83843004
62006362001598,0,121,45807004
62006362001602,0,236,91201004
62006362001618,0,232,91741004
62006362001627,0,103,296716004
62006362001636,5,5,1800001004
62006362001641,1,14,95347872
62006362001656,12,9,335001004
62006362001658,25,1,1004
62006362001664,0,238,1793251004
62006362001668,5,25,404071174
62006362001672,2,20,7781004
62006362001673,14,1,1004
62006362001678,0,41,49381004
62006362001687,1,65,837661004
62006362001690,0,74,9476004
62006362001691,0,20,466271004
62006362001693,1,11,401004
62006362001715,1,4,18901004
62006362001721,1,27,59551004
62006362001725,0,270,343930004
62006362001728,11,9,1231004
62006362001737,14,7,8321004
62006362001743,15,1,1004
62006362001747,1,45,2171004
62006362001855,0,29,29422008
62006362001864,1,37,87351004
62006362001870,0,207,1581411004
62006362001883,1,29,21311004
62006362001886,28,1,1004
62006362001890,1,127,12571004
62006362001891,0,113,40971004
62006362001896,11,4,11051004
62006362001897,28,1,1004
62006362001933,0,29,13267008
62006362001941,20,10,352902004
62006362001943,0,160,45156004
62006362001951,12,9,1401004
62006362001952,0,198,649292009
62006362001957,0,134,227361004
62006362001963,0,34,7051004
62006362001978,0,43,22161004
62006362001983,0,22,491715625
62006362001988,0,120,28411004
62006362001991,1,52,502004
62006362002006,29,1,1004
62006362002020,12,23,124512004
62006362002021,0,45,2428500000
62006362002027,20,2,3701004
62006362002036,0,55,67961004
62006362002038,1,11,2581004
62006362002039,1,24,63471004
62006362002050,1,37,87011004
62006362002055,15,65,16855004
62006362002073,19,1,1004
62006362002075,1,7,13721004
62006362002091,0,38,3311004
62006362002099,1,11,27101004
62006362002101,1,30,768271004
62006362002102,0,1012,1162443754
62006362002104,1,14,256001004
62006362002105,1,28,48171004
62006362002112,0,13,39035004
62006362002128,0,230,104586004
62006362002132,0,35,12341004
62006362002133,0,56,17762004
62006362002138,1,10,126386004
62006362002146,1,59,13062004
62006362002149,0,101,43212399
62006362002150,0,71,14253504
62006362002155,0,90,64021004
62006362002156,4,13,2701004
62006362002181,0,76,60311004
62006362002191,3,5,1021004
62006362002207,0,8,172002009
62006362002212,20,6,231004
62006362002213,0,9,2501004
62006362002221,1,32,3241004
62006362002222,0,5,551004
62006362002224,5,59,5753004
62006362002234,9,11,8116004
62006362002246,2,57,12104504
62006362002248,20,1,1004
62006362002249,0,47,43571004
62006362002251,0,30,2959004
62006362002254,1,22,19501012
62006362002256,0,94,82001004
62006362002260,0,88,45264004
62006362002264,0,52,23156004
62006362002286,12,16,2431004
62006362002295,19,1,1004
62006362002296,2,16,194951004
62006362002319,0,12,2701004
62006362002332,4,1,1004
62006362002335,0,463,27692904
62006362002337,5,325,32466704
62006362002345,0,14,149478010
62006362002350,0,37,32453604
62006362002352,0,70,3018744016
62006362002354,4,5,25504016
62006362002355,13,18,583930000
62006362002356,3,7,15837000
62006362002360,0,782,480070803
62006362002362,15,44,76379854
62006362002363,29,1,1004
62006362002368,11,20,4030501004
62006362002377,0,50,9641004
62006362002385,0,6,121461004
62006362002389,6,15,547011004
62006362002390,3,65,208010000
62006362002392,27,2,631004
62006362002393,1,102,3703739018
62006362002394,0,85,802203004
62006362002398,0,101,25418004
62006362002402,3,127,356895062
62006362002419,1,6,101004
62006362002422,5,26,585256004
62006362002423,8,4,40121004
62006362002431,1,54,243992044
62006362002447,1,19,92406559
62006362002448,0,41,128086004
62006362002464,0,337,96641004
62006362002466,1,130,47493004
62006362002497,13,1,1004
62006362002502,1,4,100001004
62006362002506,0,122,758571004
62006362002511,24,1,1004
62006362002540,0,46,451004
62006362002541,1,40,9401004
62006362002551,4,6,2455874
62006362002574,0,106,22411008
62006362002575,0,44,14496004
62006362002595,1,10,3781004
62006362002597,28,1,1004
62006362002608,18,2,25501004
62006362002609,1,17,42153009
62006362002613,1,26,24745004
62006362002624,1,3,150091004
62006362002629,0,243,693650592
62006362002630,15,1,1004
62006362002640,3,29,16693008
62006362002647,20,1,1004
62006362002656,18,2,2011
62006362002681,1,22,12244016
62006362002683,5,17,390800396
62006362002687,11,2,20001004
62006362002691,29,8,77040000
62006362002694,5,53,32134016
62006362002696,4,1,1004
62006362002710,1,80,63234016
62006362002721,20,3,3008
62006362002730,0,318,572041004
62006362002733,20,3,551004
62006362002744,0,61,13422004
62006362002751,10,3,4421004
62006362002765,0,195,22201004
62006362002774,0,110,282691004
62006362002782,15,1,1004
62006362002783,6,5,95001004
62006362002786,0,59,98366004
62006362002788,0,124,251576004
62006362002813,0,18,67141183
62006362002815,0,53,85661004
62006362002817,2,16,8116004
62006362002818,0,29,70819752
62006362002819,0,15,1038004
62006362002830,0,37,22869433
62006362002831,7,4,2761004
62006362002833,0,41,1098551004
62006362002834,0,4,2650000
62006362002840,0,62,6872004
62006362002841,15,2,301004
62006362002846,0,48,59174004
62006362002847,0,3674,825628504
62006362002849,28,1,1004
62006362002854,2,24,17751004
62006362002872,1,14,27871004
62006362002882,9,5,2621004
62006362002885,29,1,1004
62006362002889,3,7,14181004
62006362002903,5,5,204016
62006362002909,8,119,79021004
62006362002911,6,10,131051004
62006362002920,4,7,578384016
62006362002924,0,99,592532012
62006362002930,3,13,389451004
62006362002942,0,10,1498000
62006362002947,3,21,27451004
62006362002950,0,125,207113004
62006362002961,6,1,1004
62006362002962,0,3,13300000
62006362002965,6,62,21231004
62006362002979,28,1,1004
62006362002998,0,155,142106004
62006362003007,1,159,241167146
62006362003010,2,99,461442004
62006362003027,10,44,50607008
62006362003031,0,56,151432009
62006362003038,0,34,1408004
62006362003052,0,135,18591004
62006362003054,0,109,305693013
62006362003056,0,629,1132080022
62006362003068,0,722,47441004
62006362003072,0,343,15373004
62006362003101,18,12,8712014
62006362003102,16,22,119271004
62006362003106,0,92,50241004
62006362003111,0,67,18766004
62006362003126,12,1,1004
62006362003127,0,268,23867504
62006362003128,0,35,754481004
62006362003129,0,95,3657832004
62006362003139,0,71,13413004
62006362003143,0,176,60753004
62006362003156,25,2,2008
62006362003157,1,81,25642008
62006362003169,6,10,93081004
62006362003170,0,34,3831004
62006362003182,5,1,1004
