Merchantnumber,recency,frequency,monetary_value
62001420300002,24,3,311004
62001810100002,3,2,11004
62001810100003,2,13,13666004
62001820100006,1,3,1361004
62001821200001,2,2,11004
62001821400002,0,28,720251004
62001823200001,2,2,20001004
62001823700002,1,2,11004
62001824200001,22,3,4474004
62001824900001,1,10,1523165454
62006362000035,2,40,400902008
62006362000038,8,4,1531004
62006362000039,3,29,245356004
62006362000040,2,21,1384600000
62006362000046,0,31,1874014099
62006362000052,0,400,477179504
62006362000053,1,15,81119004
62006362000058,1,9,160427099
62006362000062,2,13,1561280099
62006362000063,5,388,629087099
62006362000064,0,26,1242802099
62006362000066,2,11,379951004
62006362000070,25,2,2099
62006362000073,6,10,3887099
62006362000076,22,1,1004
62006362000077,0,94,469150111
62006362000079,0,89,178653099
62006362000082,9,8,251461004
62006362000084,3,4,6482016
62006362000086,2,2,2008
62006362000087,1,32,4890208004
62006362000089,18,3,50002099
62006362000090,1,31,1222901004
62006362000095,15,1,1004
62006362000103,17,8,440002099
62006362000106,0,1392,224907008
62006362000120,0,17,398852099
62006362000122,1,353,277152099
62006362000124,4,18,2912722107
62006362000129,0,130,214822099
62006362000131,5,2,11004
62006362000136,0,8,29393020
62006362000137,3,2,11004
62006362000143,1,75,1128280361
62006362000149,0,33,139954875
62006362000150,0,318,1757149704
62006362000152,1,59,143918599
62006362000156,1,32,284861004
62006362000164,3,12,7168504
62006362000172,0,145,71792099
62006362000177,6,119,29154108
62006362000180,19,1,1004
62006362000183,0,303,109239504
62006362000190,1,8,4489004
62006362000195,8,21,121262099
62006362000200,2,9,312262504
62006362000202,18,1,1004
62006362000207,0,21,1919942099
62006362000208,16,5,479004
62006362000216,4,31,45841004
62006362000219,1,118,143421004
62006362000221,0,89,126882012
62006362000222,2,37,94526004
62006362000224,10,166,55325511
62006362000225,24,1,1004
62006362000226,9,8,6252099
62006362000229,3,2,11004
62006362000230,0,3,347004
62006362000234,0,22,107342099
62006362000237,2,5,15276004
62006362000239,0,87,20099004
62006362000240,1,4,351071004
62006362000247,1,16,1457428599
62006362000249,16,1,1004
62006362000253,1,2,11004
62006362000257,0,64,1100002099
62006362000259,0,88,1068102099
62006362000260,0,17,914702099
62006362000263,1,41,2441447510
62006362000264,1,6,48402099
62006362000266,3,16,1308652099
62006362000267,1,42,719029103
62006362000271,5,11,2516202099
62006362000273,18,13,8411004
62006362000290,1,20,52217004
62006362000295,2,14,134362099
62006362000300,25,1,1004
62006362000302,4,13,291004103
62006362000313,2,26,1449001004
62006362000316,3,28,825954599
62006362000318,13,1,1002
62006362000319,3,3,201001004
62006362000325,24,1,1004
62006362000326,5,20,659903104
62006362000330,19,1,1004
62006362000337,0,228,430409103
62006362000340,4,15,515667099
62006362000346,0,89,51565018
62006362000348,2,2,11004
62006362000356,1,111,118602004
62006362000359,1,204,138747025
62006362000366,1,14,22403004
62006362000367,1,65,63415099
62006362000369,2,21,148374504
62006362000370,2,7,122201004
62006362000375,5,2,11004
62006362000381,5,2,11004
62006362000384,3,2,101004
62006362000385,0,90,106566004
62006362000386,2,9,28941004
62006362000390,17,1,1004
62006362000399,2,35,471502099
62006362000400,1,19,1038102099
62006362000406,5,14,935740099
62006362000407,0,88,42239099
62006362000412,1,6,1650002099
62006362000416,1,9,116203103
62006362000428,0,53,6047002099
62006362000440,24,4,10000000
62006362000443,0,150,99411004
62006362000454,1,25,15314004
