Merchantnumber,recency,frequency,monetary_value
62001420300002,6,5,3741004
62001810100002,0,1760,203324500
62001810100003,0,25,33531004
62001820100006,2,7,314501004
62001821200001,0,758,772956004
62001821400002,0,33,119246004
62001823000001,0,92,232005072
62001823000002,1,35,1397451004
62001823200001,0,11,560951004
62001823700002,0,24,5102008
62001824200001,14,1,1004
62001824900001,0,195,527209632
62006362000035,0,48,417301004
62006362000037,1,2,11004
62006362000038,0,7,2361004
62006362000039,0,51,339636004
62006362000040,1,8,480002017
62006362000046,0,110,1686235796
62006362000052,0,159,449296004
62006362000053,7,6,12003129
62006362000055,6,5,4010000
62006362000058,0,29,2234741004
62006362000062,1,43,3455826004
62006362000063,0,1506,851677504
62006362000064,8,12,323001004
62006362000065,7,2,651004
62006362000066,0,10,815251004
62006362000070,10,2,150001004
62006362000073,0,88,106152504
62006362000076,3,37,338996004
62006362000077,0,71,392910231
62006362000079,0,50,80701004
62006362000082,7,13,1177661004
62006362000084,0,35,135679004
62006362000086,1,2,11004
62006362000087,0,15,2005459604
62006362000088,17,13,144217004
62006362000089,16,5,585151004
62006362000090,17,11,530001004
62006362000091,1,2,11004
62006362000095,3,4,533408204
62006362000096,5,8,649001004
62006362000103,2,6,338378980
62006362000104,25,10,24876004
62006362000106,0,309,231457445
62006362000120,0,659,524217004
62006362000122,0,438,342551004
62006362000124,3,25,3800402007
62006362000126,5,85,91971004
62006362000129,0,171,261702008
62006362000132,5,2,11004
62006362000136,6,16,17444004
62006362000137,2,365,1287719798
62006362000138,17,17,2030504
62006362000140,1,2,11004
62006362000143,0,90,540697911
62006362000149,0,51,258166499
62006362000150,0,285,1527097026
62006362000152,2,69,630286880
62006362000155,0,572,659975004
62006362000156,0,156,179986004
62006362000157,3,11,12001004
62006362000164,0,27,206236004
62006362000168,5,2,11004
62006362000172,0,219,149142241
62006362000177,0,114,114453004
62006362000180,0,7,85301004
62006362000181,28,37,352004
62006362000183,9,205,62864004
62006362000190,1,32,17644504
62006362000195,0,18,403311004
62006362000200,1,8,452921004
62006362000202,7,4,168001004
62006362000207,1,29,2767001004
62006362000208,0,44,39326004
62006362000212,14,7,2002011
62006362000216,1,25,11631004
62006362000219,0,98,139144004
62006362000221,0,102,308497009
62006362000222,8,43,32312004
62006362000224,23,2,2008
62006362000225,0,58,125891004
62006362000226,1,14,21201004
62006362000229,5,7,473001004
62006362000230,0,233,138427613
62006362000234,5,16,59365000
62006362000237,8,5,3756004
62006362000239,0,247,28276504
62006362000240,0,3,405601004
62006362000245,0,292,175941004
62006362000247,2,43,320223004
62006362000249,0,30,122672004
62006362000253,6,28,862957673
62006362000257,0,51,707140000
62006362000259,0,103,787821004
62006362000260,1,9,314001004
62006362000263,0,25,3095001004
62006362000264,24,5,228151004
62006362000266,0,30,2743101004
62006362000267,0,73,1725913604
62006362000271,15,5,1510001004
62006362000273,6,1,1100
62006362000280,15,1,1004
62006362000290,0,84,237129008
62006362000294,0,172,1637211004
62006362000295,3,13,196701004
62006362000297,1,2,11004
62006362000300,27,3,296004
62006362000301,1,2,70001004
62006362000302,17,3,48001004
62006362000313,1,22,2158501004
62006362000316,0,30,786871004
62006362000319,0,10,82001004
62006362000325,0,894,3486266559
62006362000326,1,29,1104601004
62006362000330,0,13,5836004
62006362000337,0,333,570956004
62006362000340,0,27,1985716804
62006362000346,0,483,266626004
62006362000348,5,2,160001004
62006362000356,0,149,249596004
62006362000359,0,31,479976004
62006362000366,8,17,23336004
