Merchantnumber,recency,frequency,monetary_value
62001420300002,3,5,7401004
62001810100002,1,1573,164638000
62001810100003,0,18,26128004
62001820100006,2,11,295449798
62001821200001,0,779,808952009
62001821400002,0,37,60561004
62001823000001,0,99,175485004
62001823000002,0,32,722601004
62001823200001,0,21,1762696004
62001823700002,0,22,10029016
62001824200001,3,2,2008
62001824900001,0,195,511101580
62006362000035,0,45,302801004
62006362000037,1,2,11004
62006362000038,12,5,5561004
62006362000039,0,60,214731004
62006362000040,0,43,1559301004
62006362000046,2,23,1176595008
62006362000052,0,217,269146004
62006362000053,12,10,36299004
62006362000055,0,6,9099048
62006362000058,0,41,2183001004
62006362000062,0,17,2247250004
62006362000063,0,1330,713947220
62006362000064,2,10,325911004
62006362000065,19,2,101004
62006362000066,9,18,807061004
62006362000070,13,5,540351004
62006362000073,0,93,139847125
62006362000076,1,21,245171004
62006362000077,0,71,215626521
62006362000079,1,78,199501004
62006362000082,0,9,683491004
62006362000084,0,61,150216004
62006362000086,3,3,12004
62006362000087,4,30,2398193827
62006362000088,6,13,22141004
62006362000089,5,6,367642610
62006362000090,2,25,1115001004
62006362000091,21,7,90001004
62006362000095,3,2,11004
62006362000096,14,2,100001004
62006362000103,3,8,367001004
62006362000104,1,10,17031004
62006362000106,0,623,270786797
62006362000120,0,657,530254004
62006362000122,0,423,296856004
62006362000124,0,17,1976351004
62006362000126,0,24,17725008
62006362000129,0,173,362161004
62006362000131,3,2,11004
62006362000132,1,2,11004
62006362000136,0,17,12611004
62006362000137,0,181,644831004
62006362000138,24,1,1004
62006362000140,3,2,11004
62006362000143,0,83,976671398
62006362000149,0,92,333617945
62006362000150,0,247,1205139504
62006362000152,0,64,695275004
62006362000155,0,235,173486004
62006362000156,0,230,377781004
62006362000157,5,1,1004
62006362000164,3,27,58816004
62006362000168,1,3,15740004
62006362000172,6,142,100213504
62006362000177,4,30,13655004
62006362000180,17,3,31940000
62006362000181,25,1,1004
62006362000183,2,2,11004
62006362000184,2,2,2011
62006362000190,7,31,33697404
62006362000195,2,31,507041004
62006362000200,4,10,432701004
62006362000202,0,7,177001004
62006362000207,2,20,2465001004
62006362000208,0,20,19526004
