Merchantnumber,recency,frequency,monetary_value
62001420300002,1,1,650000
62001810100003,0,2,4420000
62001820100006,1,1,1004
62001821200001,0,85,42245000
62001821400002,0,4,17450000
62001823000001,0,5,2043004
62001823200001,2,1,192000000
62001823700002,0,1,1004
62001824900001,0,17,12479784
62006362000035,0,3,9000000
62006362000037,0,31,10230000
62006362000039,1,1,800000
62006362000046,0,2,61370000
62006362000052,0,24,29220000
62006362000053,1,4,21100000
62006362000058,0,1,4500000
62006362000062,1,2,210000000
62006362000063,0,152,57831000
62006362000064,0,4,200000000
62006362000066,0,2,68920000
62006362000073,0,13,11950000
62006362000076,0,9,1027000000
62006362000077,0,8,27265000
62006362000079,1,3,5200000
62006362000084,0,7,7706988
62006362000087,1,8,596137900
62006362000088,0,14,240340000
62006362000106,0,118,30343000
62006362000120,0,79,46250000
62006362000122,0,65,52500000
62006362000124,0,2,112000000
62006362000129,0,31,42270000
62006362000132,1,1,1004
62006362000136,0,5,3855000
62006362000140,1,2,314000
62006362000143,0,7,134861004
62006362000149,0,13,59401004
62006362000150,1,8,118675000
62006362000152,0,4,43421004
62006362000155,0,3,801004
62006362000156,0,24,42610000
62006362000157,1,1,1004
62006362000164,0,8,17110000
62006362000168,1,1,1004
62006362000172,0,15,17460000
62006362000177,0,9,2655000
62006362000180,0,4,90801004
62006362000181,1,2,6125
62006362000183,0,45,11127000
62006362000190,0,3,274000
62006362000195,0,2,15200000
62006362000200,0,6,401001004
62006362000202,0,2,11100000
62006362000207,1,6,1250000000
62006362000208,1,2,915000
62006362000212,0,3,850000
62006362000219,0,10,7705000
62006362000221,0,10,8350000
62006362000222,0,5,5240000
62006362000224,0,60,17060000
62006362000225,0,12,17480000
62006362000229,1,1,1004
62006362000230,0,21,19421000
62006362000234,1,1,1400000
62006362000239,0,55,7351000
62006362000245,0,44,35880000
62006362000247,1,1,1004
62006362000249,1,1,1000000
62006362000259,0,7,49000000
62006362000266,0,3,284000000
62006362000267,0,5,81150000
62006362000271,0,2,445000000
62006362000273,0,4,3450000
62006362000290,0,4,16280000
62006362000294,0,16,124801004
62006362000295,0,1,53250000
62006362000302,1,3,301500000
62006362000316,0,2,69500000
62006362000319,1,1,5000000
62006362000325,0,101,395220000
62006362000337,0,28,34960000
62006362000340,0,1,6700000
62006362000346,1,31,13565000
62006362000348,1,1,1004
62006362000356,0,20,18003000
62006362000359,0,4,2311004
62006362000367,0,9,5470000
62006362000369,2,1,270000
62006362000380,1,4,8200000
62006362000385,0,22,25530000
62006362000386,0,5,17700000
62006362000393,0,12,1135000
62006362000395,1,14,47050000
62006362000400,2,1,50000000
62006362000401,1,2,890000
62006362000407,0,4,560000
62006362000412,1,1,1004
62006362000416,0,1,236000
62006362000428,1,1,9300000
62006362000430,0,24,23820000
62006362000436,1,6,23300000
62006362000440,1,1,1004
62006362000443,0,3,1870000
62006362000454,0,6,2030000
62006362000455,2,1,995000
62006362000464,1,4,129400000
62006362000467,0,1,7000000
62006362000469,1,3,64530000
62006362000477,1,1,1004
62006362000481,1,2,91000000
62006362000492,1,1,1004
62006362000501,0,12,4890000
62006362000516,0,1,130000
62006362000523,1,5,108250000
62006362000542,0,21,9800000
62006362000543,0,3,13110000
62006362000544,0,10,5670000
62006362000550,0,8,6850000
62006362000551,0,1,400000
62006362000553,0,1,2100000
62006362000558,0,3,7700000
62006362000561,0,36,120200000
62006362000573,0,14,236400000
62006362000584,1,1,20600000
62006362000593,0,36,22931000
62006362000596,0,9,45470000
62006362000602,0,4,670000
62006362000604,0,11,5990000
62006362000619,0,10,9880000
62006362000620,2,1,12360000
62006362000636,1,7,97950000
62006362000642,1,1,1700000
62006362000646,1,1,56000000
62006362000647,0,63,105050000
62006362000650,2,1,24000000
62006362000655,1,1,1850000
62006362000656,0,16,33105000
62006362000657,0,1,1480000
62006362000658,1,2,32430000
62006362000662,0,3,299000000
62006362000665,0,14,30745000
62006362000666,0,29,21341000
62006362000674,1,1,50000000
62006362000676,1,2,14000000
62006362000679,0,10,7265000
62006362000681,0,12,77010000
62006362000691,0,2,4500000
62006362000699,1,2,3520000
62006362000707,2,1,45000000
62006362000708,0,2,7614000
62006362000711,0,6,596032000
62006362000712,2,1,650000
62006362000716,1,3,1004600000
62006362000724,1,13,17390000
62006362000725,0,23,2560000
62006362000729,0,2,30026670
62006362000736,0,3,601004
