Merchantnumber,recency,frequency,monetary_value
62001420300002,2,18,23771004
62001810100002,3,1498,162347000
62001810100003,6,16,28856004
62001820100006,0,4,210500000
62001821200001,3,716,328266004
62001821400002,0,28,194101004
62001823000001,3,109,453524004
62001823000002,1,28,967501004
62001823200001,8,11,284011004
62001823700002,2,16,19420000
62001824900001,0,153,636814471
62006362000035,1,43,220401004
62006362000037,8,2,2011
62006362000038,0,12,12081004
62006362000039,1,66,435216004
62006362000040,5,24,2962501004
62006362000046,0,6,23871004
62006362000052,2,217,428051504
62006362000053,1,6,11160004
62006362000055,11,2,3810000
62006362000058,1,38,1872061004
62006362000062,0,32,1867665004
62006362000063,1,1544,546017504
62006362000064,1,18,948500000
62006362000065,9,12,301004
62006362000066,8,11,346461004
62006362000070,8,7,918375000
62006362000073,1,53,69773004
62006362000076,2,111,653783888
62006362000077,0,78,382136032
62006362000079,1,110,267501004
62006362000082,1,9,654471004
62006362000084,3,50,198980004
62006362000086,4,6,270708384
62006362000087,0,41,4294395394
62006362000088,3,3,11001004
62006362000089,5,8,453814008
62006362000090,0,10,300001004
62006362000091,4,1,1004
62006362000095,16,1,55000000
62006362000096,4,1,1004
62006362000103,8,10,858451004
62006362000106,2,712,204127606
62006362000120,3,238,277580008
62006362000122,1,510,405551004
62006362000124,2,24,3844500000
62006362000126,10,99,61914000
62006362000129,3,161,222230000
62006362000132,3,2,2011
62006362000136,3,17,54581004
62006362000137,22,80,130340000
62006362000138,12,1,1004
62006362000140,18,1,1004
62006362000143,1,49,433589000
62006362000149,1,58,227640000
62006362000150,3,254,1805776000
62006362000152,0,51,881495000
62006362000155,3,368,940684004
62006362000156,2,154,299766004
62006362000157,29,1,2300000
62006362000164,2,47,255807004
62006362000172,3,193,155011004
62006362000177,14,54,43235004
62006362000180,5,7,1010001004
62006362000181,9,2,150001004
62006362000183,6,76,31326504
62006362000190,3,32,17833604
62006362000195,9,24,404571004
62006362000200,7,7,405356004
62006362000202,7,8,159001004
62006362000207,1,28,2402001004
62006362000208,3,123,84398004
62006362000216,0,62,36900000
62006362000219,2,126,125347004
62006362000221,2,105,183141004
62006362000222,0,42,38823004
62006362000224,18,101,25910004
62006362000225,2,43,182922017
62006362000226,4,7,16500000
62006362000229,15,7,933610000
62006362000230,0,252,200554004
62006362000234,4,14,35770000
62006362000237,5,6,18845156
62006362000239,2,175,20003504
62006362000240,22,2,100001004
62006362000245,5,255,203751004
62006362000247,7,1,1004
62006362000249,4,9,67745004
62006362000253,15,2,11004
62006362000257,5,54,815570000
62006362000259,0,68,389281004
62006362000260,15,4,98001004
62006362000263,15,5,575000000
62006362000264,0,9,597941004
62006362000266,6,32,3944150000
62006362000267,0,75,1858861004
62006362000271,12,8,1550001004
62006362000273,5,1,1004
62006362000290,0,64,163150004
62006362000294,3,288,1366015000
62006362000295,5,13,937050000
62006362000300,3,4,15081004
62006362000301,25,1,1004
62006362000302,2,10,532001004
62006362000313,3,19,1126161004
62006362000316,0,34,1226251004
62006362000319,10,3,103551004
62006362000325,3,291,1080371004
62006362000326,3,20,1617001004
62006362000330,8,5,371004
62006362000337,3,164,250751004
62006362000340,3,10,790021004
62006362000346,3,401,228605000
62006362000356,3,118,104720004
62006362000359,7,25,185683845
62006362000366,3,19,25781004
62006362000367,3,113,65221004
62006362000369,3,66,168225504
62006362000370,5,7,96601004
62006362000380,2,64,531341004
62006362000385,1,165,106766004
62006362000386,9,19,131580000
62006362000390,0,10,12191004
62006362000393,0,145,266381004
62006362000395,3,43,240230000
62006362000399,2,9,107000000
62006362000400,7,10,810840000
62006362000401,0,15,7161004
62006362000406,4,3,217001004
62006362000407,3,76,43431004
62006362000412,2,10,1200402009
62006362000416,10,15,528031004
62006362000428,0,34,1773900000
62006362000430,11,88,82241004
62006362000443,3,70,73031004
62006362000454,3,14,14176004
62006362000455,1,48,78518004
62006362000460,4,5,200001004
62006362000464,9,6,570000000
62006362000467,1,23,455500000
62006362000469,6,14,153280000
62006362000470,11,4,14228794
62006362000477,12,2,30500000
62006362000481,3,12,173947004
62006362000483,14,4,68001004
62006362000489,0,9,211201004
62006362000490,1,17,130701004
62006362000491,2,3,4502798
62006362000492,1,135,929890702
62006362000501,3,60,33516004
62006362000523,0,65,672540948
62006362000541,3,6,6221004
62006362000542,1,267,120451004
62006362000543,2,34,136667004
62006362000544,3,67,26951004
62006362000546,21,1,1004
62006362000550,3,81,792270004
62006362000551,3,6,1176001004
62006362000552,10,7,5831004
62006362000553,4,88,645551004
62006362000556,26,1,1002
62006362000558,3,37,92102008
62006362000561,15,132,908106004
62006362000573,3,47,1198223004
62006362000580,0,31,8059141004
62006362000584,26,3,35650000
62006362000589,2,1,200000
62006362000590,9,9,417723004
62006362000591,4,5,282901004
62006362000592,10,25,7336004
62006362000596,3,125,58161004
