Merchantnumber,recency,frequency,monetary_value
62001420300002,27,1,1004
62001810100003,1,3,3018
62001820100006,16,2,206000000
62001821200001,2,3,3018
62001821400002,18,10,66930000
62001823000002,3,6,367603023
62001823200001,2,1,1002
62001823700002,26,3,2100000
62001824900001,16,75,422490558
62006362000035,0,8,96502016
62006362000038,26,1,1400000
62006362000039,27,1,5600000
62006362000040,0,15,477323018
62006362000046,2,17,1259533617
62006362000052,0,94,136339009
62006362000053,7,12,20055000
62006362000058,3,2,2016
62006362000062,0,51,915237008
62006362000063,2,12,440929006
62006362000064,10,2,100001002
62006362000066,8,8,374550000
62006362000070,8,1,1002
62006362000073,13,8,2990000
62006362000076,0,9,187205026
62006362000079,13,15,62502016
62006362000082,2,11,585843018
62006362000087,2,14,876906030
62006362000089,0,1,1004
62006362000090,0,17,51500000
62006362000095,3,2,2004
62006362000103,7,1,1004
62006362000106,0,20,6129004
62006362000120,2,9,71723018
62006362000122,23,90,78750000
62006362000124,0,6,198005025
62006362000137,0,1,1002
62006362000143,24,3,21000000
62006362000149,12,34,114780000
62006362000150,0,7,41669028
62006362000152,3,13,254422016
62006362000155,0,5,5044
62006362000157,19,3,4500000
62006362000164,2,3,3018
62006362000177,3,68,25809004
62006362000180,11,3,336100000
62006362000183,0,7,603018
62006362000195,23,1,11300000
62006362000207,25,5,214002016
62006362000219,0,71,58669030
62006362000222,2,42,29281004
62006362000224,0,2,2009
62006362000225,12,23,115722016
62006362000234,27,1,1700000
62006362000247,5,2,2016
62006362000249,27,1,550000
62006362000253,2,2,2016
62006362000257,9,1,1004
62006362000259,22,8,41690000
62006362000263,5,2,11004
62006362000264,5,1,1004
62006362000266,3,6,461002016
62006362000267,0,54,1021228004
62006362000271,11,11,2320002008
62006362000290,21,25,67078000
62006362000294,10,3,3018
62006362000295,9,4,3953018
62006362000300,0,1,1004
62006362000302,25,1,1004
62006362000313,4,7,39801004
62006362000316,0,18,704241004
62006362000326,0,24,1221101004
62006362000330,12,3,600000
62006362000337,0,107,187033004
62006362000340,0,7,150001004
62006362000356,0,86,69061004
62006362000359,18,20,73640000
62006362000366,2,12,22117006
62006362000370,19,1,1004
62006362000390,0,5,31082016
62006362000393,23,23,22040000
62006362000400,1,7,1228002016
62006362000406,7,12,1764090000
62006362000407,0,4,2212009
62006362000412,4,1,1002
62006362000416,0,2,2007
62006362000428,0,13,508455034
62006362000443,1,2,2009
62006362000455,0,1,1004
62006362000464,0,12,1036003009
62006362000467,20,10,182500000
62006362000481,4,2,2009
62006362000489,19,4,264800000
62006362000492,3,7,6353018
62006362000523,0,7,12402016
62006362000550,0,15,368712016
62006362000551,6,2,2016
62006362000552,14,4,66630000
62006362000558,0,2,2016
62006362000561,7,3,3018
62006362000573,2,16,385211004
62006362000580,3,13,1550721004
62006362000591,2,4,200000000
62006362000596,0,20,9802009
62006362000602,19,17,3791004
62006362000603,14,251,71908004
62006362000619,0,5,11061004
62006362000620,0,19,419452016
62006362000637,0,1,1004
62006362000642,0,1,1004
62006362000644,16,3,70250000
62006362000650,21,2,63000000
62006362000655,0,2,2501000
62006362000657,13,5,83900000
62006362000658,9,37,1130451404
62006362000662,7,7,715530000
62006362000665,16,47,113949000
62006362000674,4,22,5603871004
62006362000676,8,7,31069004
62006362000679,27,7,23828000
62006362000683,0,1,1004
62006362000686,26,1,42000000
62006362000692,18,1,20000
62006362000699,5,5,10037000
62006362000705,7,1,1004
62006362000707,27,1,100000000
62006362000708,9,17,52678016
62006362000710,19,2,20000000
62006362000711,5,14,2079631340
62006362000716,27,1,42000000
62006362000731,17,4,225760000
62006362000736,4,2,2009
62006362000740,0,1,1002
62006362000743,3,2,2004
62006362000744,1,14,141400000
62006362000748,10,4,10003020
62006362000749,2,30,107369018
62006362000752,3,13,654914015
62006362000753,0,8,1081520
62006362000758,3,2,2016
62006362000760,20,6,41062000
62006362000767,3,9,991313021
62006362000769,3,8,57073009
62006362000773,2,36,577141004
62006362000779,0,82,107220206
62006362000780,0,541,129524504
62006362000787,0,116,158732016
62006362000799,0,14,10572009
62006362000802,0,36,26590009
62006362000814,25,20,7460000
62006362000815,21,21,15120000
62006362000824,0,2,2016
62006362000827,1,35,1013107016
62006362000831,2,4,182016
62006362000833,6,6,400482016
62006362000869,27,1,19000000
62006362000870,0,11,37752016
62006362000878,0,10,51832016
62006362000913,0,2,2016
62006362000940,10,23,2603672016
62006362000969,3,7,1021602009
62006362001000,14,4,52695000
62006362001001,0,34,113490000
62006362001018,16,6,204432016
62006362001024,5,14,438741004
62006362001025,1,6,19402016
62006362001040,23,33,31761000
62006362001072,2,1,1002
62006362001099,0,3,3009
62006362001102,2,12,5002006
62006362001110,0,3,3018
62006362001113,6,25,2628008
62006362001114,1,325,523632468
62006362001116,27,1,5000000
62006362001150,2,14,2380056004
62006362001161,25,3,15490000
62006362001162,0,10,282521004
62006362001167,2,4,4023
62006362001177,0,31,94072008
62006362001180,5,1,1004
62006362001201,0,55,82266016
62006362001213,20,4,17852016
62006362001220,3,4,1011004
62006362001227,2,27,532974021
62006362001235,1,11,25011004
62006362001237,2,1,1002
62006362001249,0,36,2816016
62006362001252,0,8,821012
62006362001261,18,4,1501004
62006362001262,2,80,79223254
62006362001280,5,2,2016
62006362001281,22,18,149270000
62006362001310,10,6,1355000
62006362001317,7,3,4281012
62006362001368,2,3,3652016
62006362001369,20,3,3023
62006362001389,0,6,10303019
62006362001394,0,107,53749023
62006362001398,0,83,25576858
62006362001400,0,231,82813019
62006362001401,5,3,3019
62006362001404,5,4,742016
62006362001408,0,4,31002016
62006362001425,4,3,3019
62006362001445,0,498,836739026
62006362001454,0,3,3018
62006362001459,2,2,2016
62006362001472,0,21,21433021
62006362001485,0,201,244316004
62006362001493,2,1,1002
62006362001525,23,7,2170000
62006362001528,24,1,1004
62006362001548,26,10,991000
62006362001553,5,6,48262006
62006362001567,10,8,15990000
62006362001570,8,3,759002
62006362001574,18,2,16540000
62006362001583,21,6,20702016
62006362001585,27,11,1139000
62006362001598,24,3,420000
62006362001658,10,1,1004
62006362001664,6,4,25003018
62006362001687,2,32,163830000
62006362001690,0,6,291004
62006362001691,0,2,2016
62006362001728,1,23,18121004
62006362001737,10,2,201004
62006362001847,0,4521,588048774
62006362001864,5,4,6202009
62006362001870,0,2,2016
62006362001891,27,1,380000
62006362001983,0,23,344856659
62006362001988,0,49,11914009
62006362001989,0,51,11971803
62006362001991,4,2,2009
62006362002021,7,21,1284700000
62006362002026,26,2,5001004
62006362002027,0,10,20724033
62006362002036,25,2,980000
62006362002050,5,1,1004
62006362002055,16,63,13329000
62006362002099,17,130,78320000
62006362002101,1,23,581631004
62006362002104,23,3,72100000
62006362002112,21,5,12410000
62006362002133,27,1,50000
62006362002138,23,3,49600000
62006362002153,19,1,1004
62006362002181,0,28,16282009
62006362002183,16,6,441004
62006362002191,13,3,260000
62006362002207,0,2,2016
62006362002254,25,40,3350000
62006362002284,26,5,501004
62006362002285,0,54,327911004
62006362002337,0,15,699519
62006362002350,0,17,11116618
62006362002352,0,27,1695004013
62006362002354,2,12,1501003009
62006362002360,0,427,286719588
62006362002367,27,3,451004
62006362002377,3,314,71560000
62006362002393,2,46,5583088018
62006362002394,3,11,534158018
62006362002395,11,13,28995000
62006362002402,0,52,294608408
62006362002416,24,2,2008
62006362002422,6,12,180030000
62006362002423,0,1,1004
62006362002431,0,16,38013004
62006362002448,0,13,166311004
62006362002506,0,6,4111004
62006362002511,0,33,1631869021
62006362002566,27,2,241004
62006362002574,0,13,913019
62006362002575,26,7,3021004
62006362002595,0,46,22387016
62006362002609,1,3,3018
62006362002624,8,3,7361002
62006362002629,24,24,56719500
62006362002647,8,1,1002
62006362002649,6,9,226504013
62006362002650,6,6,83340000
62006362002681,25,1,300000
62006362002687,24,1,1004
62006362002696,3,3,3019
62006362002715,29,1,1000000
62006362002721,0,14,75953019
62006362002723,2,3,3020
62006362002733,4,11,1778000
62006362002734,20,2,1550000
62006362002744,25,3,1240000
62006362002765,2,43,6491004
62006362002774,0,28,57278019
62006362002783,5,32,85176004
62006362002813,5,1,1004
62006362002815,5,2,151004
62006362002818,20,16,52130000
62006362002830,5,1,1004
62006362002831,17,44,31125000
62006362002833,0,13,176701004
62006362002840,22,9,910000
62006362002841,5,1,1004
62006362002846,22,12,12313000
62006362002847,0,1288,313216018
62006362002849,0,3,3019
62006362002872,21,8,3450000
62006362002882,5,11,11972016
62006362002889,0,3,3019
62006362002924,6,18,511340000
62006362002927,24,2,3605000
62006362002930,2,1,1002
62006362002965,2,1,1002
62006362002998,26,5,4995000
62006362003007,3,13,125402009
62006362003027,0,42,83068519
62006362003030,0,2,2016
62006362003052,0,69,15172016
62006362003056,0,154,186347813
62006362003064,0,18,3223011
62006362003072,0,190,14584524
62006362003102,19,13,112001004
62006362003103,0,27777,2217417757
62006362003112,26,10,330655000
62006362003128,0,28,25732009
62006362003129,0,44,296295518
62006362003170,10,104,14890000
62006362003198,4,3,3019
62006362003218,3,3,3020
62006362003230,16,4,180002016
62006362003243,0,69,5658019
62006362003259,0,2,2009
62006362003318,0,394,105922020
62006362003319,0,91,136301004
62006362003327,0,22,6022009
62006362003329,2,16,54602016
62006362003335,0,2,451004
62006362003338,19,2,2011
62006362003381,1,58,21184016
62006362003399,2,3,3018
62006362003428,23,1,7500000
62006362003449,4,5,1104023
62006362003466,0,8,5200000
62006362003473,2,5,16553009
62006362003481,4,8,195701002
62006362003500,22,22,11280000
62006362003515,2,9,1803028
62006362003516,17,7,2635000
62006362003525,1,2,2016
62006362003533,6,84,19678310
62006362003540,7,11,363561004
62006362003544,10,8,540000
62006362003561,0,132,42518509
62006362003576,20,1,50000
62006362003639,1,19,12202009
62006362003642,3,2,2009
62006362003652,0,15,20002009
62006362003657,2,3,1802009
62006362003663,0,55,669254017
62006362003664,24,2,2016
62006362003665,5,1,1004
62006362003666,0,22,6651009
62006362003669,2,3,3019
62006362003670,15,34,2579004
62006362003680,0,3,3019
62006362003683,0,3,3019
62006362003686,2,23,11712016
62006362003690,2,55,16418020
62006362003692,5,20,2184516
62006362003707,7,3,3019
62006362003713,0,4,4022
62006362003718,0,59,23363019
62006362003732,0,1,1003
62006362003750,1,16,37062016
62006362003774,2,2,2016
62006362003804,26,3,1800000
62006362003816,0,3,3019
62006362003827,25,2,2150000
62006362003846,27,1,800000
62006362003884,27,1,17000000
62006362003896,26,4,1280000
62006362003904,0,16,3048019
62006362003908,0,3,3019
62006362003910,27,1,60000
62006362003920,22,41,5840000
62006362003930,1,99,119821004
62006362003932,0,114,132361004
62006362003933,0,48,32812009
62006362003934,0,4,882009
62006362003938,20,32,18566004
62006362003942,13,40,87462009
62006362003947,26,2,2016
62006362003949,0,7,32831004
62006362003960,19,34,164081004
62006362004000,8,11,15052016
62006362004008,0,15,14962009
62006362004019,14,39,1168584388
62006362004027,14,3,12011
62006362004032,7,1,1004
62006362004040,3,4,135003019
62006362004053,2,442,4389430654
62006362004056,2,1,1002
62006362004086,0,67,32199022
62006362004114,0,34,21276516
62006362004119,0,2,2016
62006362004135,10,2,2009
62006362004138,2,1,1004
62006362004142,27,1,1100000
62006362004146,23,8,1122016
62006362004147,24,4,1230000
62006362004148,7,1,1004
62006362004155,26,1,111000
62006362004159,25,27,4504000
62006362004160,0,99,18629016
62006362004167,0,3,3019
