Merchantnumber,recency,frequency,monetary_value
62001420300002,0,12,26247008
62001810100002,1,1657,176495500
62001810100003,1,15,19111504
62001820100006,0,9,312211004
62001821200001,0,542,344256004
62001821400002,0,35,358221004
62001823000001,0,66,753312004
62001823000002,0,16,768111004
62001823200001,0,12,343601004
62001823700002,10,2,11004
62001824200001,11,1,1004
62001824900001,0,184,395579812
62006362000035,0,24,105151004
62006362000037,13,102,40736004
62006362000038,1,27,25413226
62006362000039,0,43,180728004
62006362000040,0,55,2357351004
62006362000046,1,22,953692008
62006362000052,0,248,254891004
62006362000053,1,28,131786667
62006362000055,1,3,9770000
62006362000058,1,36,2041151004
62006362000062,0,38,3151038004
62006362000063,0,1151,353646004
62006362000064,0,12,425001004
62006362000065,6,2,11004
62006362000066,1,10,258301004
62006362000070,6,3,25011004
62006362000073,0,97,110706004
62006362000076,4,8,30336004
62006362000077,0,80,602564259
62006362000079,0,66,132501004
62006362000082,6,14,1433331004
62006362000084,0,47,149506004
62006362000086,6,2,11004
62006362000087,0,15,2610163104
62006362000088,1,39,965246004
62006362000089,2,12,1050739440
62006362000090,0,18,449001004
62006362000091,6,2,11004
62006362000095,15,7,800341004
62006362000096,1,6,836601004
62006362000103,0,8,210619134
62006362000104,15,5,13901004
62006362000106,0,954,162002008
62006362000120,0,349,334651004
62006362000122,0,461,413551004
62006362000124,1,16,2383001004
62006362000126,5,44,86106195
62006362000129,0,169,270641004
62006362000132,0,2,11004
62006362000136,15,22,43131004
62006362000137,0,227,960603004
62006362000138,2,427,69331504
62006362000140,1,2,11004
62006362000143,0,45,566649110
62006362000149,2,57,175936004
62006362000150,0,256,1907098466
62006362000152,0,41,1089357004
62006362000155,0,125,115111004
62006362000156,0,243,414981004
62006362000164,0,17,44769004
62006362000168,0,2,11004
62006362000172,0,102,924511004
62006362000177,0,110,210528004
62006362000180,16,3,80001004
62006362000181,29,1,1004
62006362000183,6,50,13072004
62006362000184,21,2,2008
62006362000190,0,57,38763504
62006362000195,2,26,263991004
62006362000200,6,8,406701004
62006362000202,0,23,785801004
62006362000207,1,29,2456301004
62006362000208,0,23,19414004
62006362000212,0,43,32432017
62006362000216,10,2,11004
62006362000219,0,113,139154004
62006362000221,0,117,150431004
62006362000222,0,38,20009004
62006362000224,5,29,4647008
62006362000225,0,66,123871004
62006362000226,6,9,15231004
62006362000229,0,4,432481004
62006362000230,0,233,782171802
62006362000234,0,19,161541004
62006362000237,1,10,11626004
62006362000239,0,397,35509004
62006362000240,7,11,364234004
62006362000245,0,253,167001004
62006362000247,0,340,2467819304
62006362000249,0,41,105962004
62006362000253,0,44,1825994345
62006362000257,0,52,827505000
62006362000259,0,51,239962004
62006362000260,3,5,100001004
62006362000263,2,18,1820002028
62006362000264,1,13,188664186
62006362000266,1,34,4277771004
62006362000267,0,56,1575003804
62006362000271,10,11,1695001004
62006362000273,10,25,18350004
62006362000290,0,125,368102004
62006362000292,24,1,1004
62006362000294,0,252,1529131004
62006362000295,0,16,496021004
62006362000297,0,2,11004
62006362000300,7,6,12641004
62006362000301,23,1,1004
62006362000302,0,10,1048511004
62006362000313,1,26,2732651004
62006362000316,1,19,488950004
62006362000319,1,11,666565004
62006362000325,0,788,3141101004
62006362000326,1,22,1781001004
62006362000330,7,5,771004
62006362000337,0,157,248652008
62006362000340,6,15,566101004
62006362000346,0,473,258230004
62006362000348,0,3,400001004
62006362000356,0,124,148572914
62006362000359,2,32,31681004
62006362000366,1,24,25296004
62006362000367,0,85,46463004
62006362000369,0,12,21142504
62006362000370,1,13,110901004
62006362000380,0,49,128961004
62006362000385,0,115,125516004
62006362000386,0,21,111161004
62006362000390,10,6,10291004
62006362000393,1,158,20690000
62006362000395,0,31,120171004
62006362000399,1,27,350901004
62006362000400,1,7,447571004
62006362000401,0,10,5676004
62006362000403,1,2,431004
62006362000406,16,3,250001004
62006362000407,0,77,33556004
62006362000412,11,25,1500001004
62006362000416,0,27,883581004
62006362000428,1,29,1991001004
62006362000430,0,114,90656004
62006362000436,0,89,352201004
62006362000440,11,2,11004
62006362000443,0,33,36191004
62006362000454,6,23,15496004
62006362000455,2,70,106251504
62006362000460,6,3,12004
62006362000464,1,11,334001004
62006362000467,3,21,821861004
62006362000469,0,40,548291004
62006362000470,1,3,10011004
62006362000477,10,2,11004
62006362000481,6,16,681641004
62006362000483,0,2,110001004
62006362000489,9,9,259151004
62006362000490,17,1,1004
62006362000491,0,26,1867881986
62006362000492,0,80,118271764
62006362000501,1,27,8611004
62006362000516,0,7,1321004
62006362000523,1,66,1053812361
62006362000541,0,12,76581004
62006362000542,6,248,106201004
62006362000543,0,28,122481004
62006362000544,0,102,78711004
62006362000546,6,2,11004
62006362000547,4,59,29271004
62006362000550,0,22,105401004
62006362000551,7,7,975301004
62006362000552,1,15,5810004
62006362000553,17,3,1901004
62006362000558,1,22,57721004
62006362000561,0,238,721469938
62006362000573,1,55,899401004
62006362000580,6,8,767401004
62006362000584,8,4,138000000
62006362000590,0,6,324501004
62006362000591,11,8,58659604
62006362000592,1,35,132118004
62006362000593,0,34,56357004
62006362000596,0,40,20101004
62006362000602,0,3,301004
62006362000603,0,57,1621004
62006362000604,0,144,140761004
62006362000619,6,83,119962663
62006362000620,6,5,95891004
62006362000636,0,17,281991004
62006362000637,27,1,1004
62006362000642,2,13,15571004
62006362000643,22,1,1004
62006362000644,18,3,74001004
62006362000646,17,4,230001004
62006362000647,18,271,520301004
62006362000650,11,3,101851004
62006362000655,8,6,51004
62006362000656,0,96,374206004
62006362000657,8,8,84961004
62006362000658,1,40,1627246004
62006362000659,2,2,43301004
62006362000662,0,26,1115151004
62006362000665,0,66,299001004
62006362000666,20,9,1361004
62006362000668,8,1,1004
62006362000674,0,13,2410481004
62006362000676,7,17,575083004
62006362000679,0,56,47292004
62006362000681,0,57,209542558
62006362000683,0,49,632824504
62006362000686,10,5,57241004
62006362000691,0,18,33649204
62006362000692,22,25,241004
62006362000696,13,2,21004
62006362000699,6,7,7057004
62006362000705,8,11,169001004
62006362000707,1,4,101861004
62006362000708,8,17,712364004
62006362000710,15,2,2008
62006362000711,0,91,9504881838
62006362000712,23,1,1004
62006362000716,1,16,399511004
62006362000724,23,1,1004
62006362000725,0,201,29901004
62006362000728,24,2,140001004
62006362000729,29,1,32500
62006362000731,0,12,246969004
62006362000736,1,230,77471004
62006362000739,0,2,11004
62006362000740,10,3,23001004
62006362000741,18,5,60801004
62006362000742,0,89,98395500
62006362000743,0,15,391973200
62006362000744,1,8,117001004
62006362000748,9,10,35101004
62006362000749,1,117,1263243113
62006362000750,15,1,1004
62006362000752,0,43,3115601004
62006362000753,0,208,159203754
62006362000757,0,23,86716004
62006362000758,7,2,50001004
62006362000759,0,27,20683013
62006362000760,0,15,857347342
62006362000762,1,23,9601004
62006362000767,1,97,15409659331
62006362000769,0,17,432398008
62006362000770,0,7,862008
62006362000773,1,29,612302008
62006362000774,7,3,92008
62006362000779,0,1146,994237494
62006362000780,1,67,268798504
62006362000787,0,164,226294004
62006362000789,0,123,332231004
62006362000790,6,44,80092969
62006362000792,7,3,15835000
62006362000799,0,53,71580004
62006362000802,29,6,2636004
62006362000809,0,78,43256004
62006362000810,1,17,321287386
62006362000814,0,133,44501004
