Merchantnumber,recency,frequency,monetary_value
62006362001040,0,67,107872009
62006362001072,7,58,367411004
62006362001099,2,12,3363940000
62006362001102,28,1,1004
62006362001112,2,166,175007798
62006362001113,0,7,189631004
62006362001114,0,73,3949580075
62006362001116,1,16,87302008
62006362001143,14,1,1004
62006362001144,0,21,140261004
62006362001149,2,12,648001004
62006362001150,2,19,3210078004
62006362001157,16,36,20591004
62006362001161,11,17,82831004
62006362001162,3,16,347321004
62006362001164,2,28,2376951004
62006362001166,1,35,314149004
62006362001167,1,10,133100000
62006362001176,5,6,195001004
62006362001177,7,8,324241004
62006362001180,3,195,623217004
62006362001201,0,255,125654008
62006362001213,9,2,11004
62006362001219,5,1,1004
62006362001220,9,8,2786004
62006362001227,2,60,1704312099
62006362001235,1,2,271004
62006362001237,0,211,177471004
62006362001239,4,10,7011004
62006362001241,1,136,293083016
62006362001249,0,70,14120004
62006362001252,0,138,94721004
62006362001261,18,4,10821004
62006362001262,1,149,173504504
62006362001275,1,1,1004
62006362001280,23,22,70551004
62006362001281,3,11,133131004
62006362001285,0,183,203031004
62006362001319,0,71,231611004
62006362001320,17,9,131401004
62006362001334,0,255,879342004
62006362001350,0,24,13131004
62006362001368,2,3,1302099
62006362001389,9,9,20621004
62006362001394,0,186,193091004
62006362001398,0,439,189855610
62006362001400,3,2,11004
62006362001404,2,6,2001004
62006362001408,0,39,400801004
62006362001425,2,5,7601004
62006362001427,5,1,1004
62006362001431,4,10,9781004
62006362001445,7,508,975882009
62006362001454,2,4,27001004
62006362001457,18,1,1004
62006362001459,4,71,7396004
62006362001467,21,1,1004
62006362001470,0,224,352303016
62006362001472,21,1,1004
62006362001478,0,183,143285000
62006362001485,0,605,571213086
62006362001506,3,134,50381004
62006362001525,18,2,51004
62006362001534,11,330,27626004
62006362001546,0,207,213552004
62006362001548,9,7,372004
62006362001551,0,45,93381004
62006362001553,0,23,1599241806
62006362001567,0,57,56661004
62006362001568,0,28,94724004
62006362001570,3,6,4551004
62006362001571,3,2,11004
62006362001578,4,2,11004
62006362001579,4,94,294630000
62006362001583,0,14,127001004
62006362001585,2,50,18258004
62006362001587,0,448,435330004
62006362001598,0,24,2871004
62006362001602,0,116,126831004
62006362001618,0,40,13911004
62006362001627,0,69,40654004
62006362001636,19,3,71004
62006362001641,0,261,236241004
62006362001656,3,24,3501671504
62006362001658,12,1,1004
62006362001664,0,38,300031004
62006362001668,2,44,768752103
62006362001672,0,50,20426004
62006362001673,6,22,3905004
62006362001678,0,197,250291004
62006362001687,0,102,549942008
62006362001690,0,72,11871004
62006362001691,11,5,139801004
62006362001693,9,5,6401004
62006362001715,0,14,134579504
62006362001721,0,62,24311004
62006362001725,0,202,150597008
62006362001727,25,2,21004
62006362001728,0,12,3031004
62006362001737,10,5,18201004
62006362001743,3,2,11004
62006362001747,0,81,5518004
62006362001847,13,37,2404650
62006362001855,5,10,9461004
62006362001864,0,18,36321004
62006362001870,0,87,1197181004
62006362001883,0,116,131121004
62006362001886,1,5,6401004
62006362001890,0,36,18421004
62006362001891,0,125,50556004
62006362001896,0,6,14210000
62006362001897,26,1,1004
62006362001933,3,7,7241004
62006362001941,2,13,681601004
62006362001943,0,28,6241004
62006362001951,12,6,546004
62006362001952,7,15,209520000
62006362001957,0,310,742070651
62006362001963,4,42,15921004
62006362001978,0,86,64852099
62006362001983,0,52,2074988767
62006362001988,0,109,30125004
62006362001991,0,76,19221004
62006362002006,19,1,1004
62006362002020,1,128,169601004
62006362002021,2,34,3044001004
62006362002026,28,1,1004
62006362002027,0,200,409421004
62006362002036,0,115,97541004
62006362002038,2,5,18116004
62006362002039,0,108,176768704
62006362002050,0,34,190001004
62006362002055,0,222,98499004
62006362002073,1,45,41321004
62006362002075,13,3,5902099
62006362002091,0,46,2337004
62006362002099,16,19,2742004
62006362002101,0,43,1779281004
62006362002102,0,1045,1850510604
62006362002104,2,18,120191004
62006362002105,0,39,46264008
62006362002112,7,13,42411004
62006362002122,12,1,11000
62006362002128,0,302,186666004
62006362002132,0,70,49036004
62006362002133,0,108,27491004
62006362002138,0,8,126981004
62006362002140,4,1,1004
62006362002146,0,28,9381004
62006362002149,0,173,117475000
62006362002150,2,67,22181004
62006362002153,0,10,5521004
62006362002155,0,189,251167004
62006362002156,5,40,16151004
62006362002181,9,62,37481004
62006362002191,20,1,1004
62006362002207,3,4,8301004
62006362002212,15,2,461004
62006362002213,3,12,25991004
