Merchantnumber,recency,frequency,monetary_value
62001420300002,3,5,7801004
62001810100002,0,353,34557000
62001810100003,4,15,14337004
62001820100006,3,9,330351004
62001821200001,0,685,337611004
62001821400002,0,28,301586004
62001823000001,0,58,256572004
62001823000002,1,33,1181601004
62001823200001,0,30,1250016004
62001823700002,0,15,5071044
62001824200001,14,1,1004
62001824900001,0,191,828199806
62006362000035,0,25,160201004
62006362000037,0,315,123259504
62006362000038,1,8,8051004
62006362000039,0,24,177766004
62006362000040,3,13,451091004
62006362000046,1,23,735751338
62006362000052,0,241,247450004
62006362000053,0,35,142904104
62006362000055,11,7,22650000
62006362000058,3,32,1387101004
62006362000062,0,17,2765767004
62006362000063,0,1168,571626886
62006362000064,7,13,1910001004
62006362000065,0,59,1926004
62006362000066,8,12,470831004
62006362000070,5,8,1107061044
62006362000073,0,109,106359504
62006362000076,1,21,1154801004
62006362000077,0,122,446360791
62006362000079,0,105,350001004
62006362000082,4,6,553201004
62006362000084,1,38,174601204
62006362000086,3,3,504001004
62006362000087,1,33,3587545004
62006362000088,0,30,299461004
62006362000089,0,14,524173814
62006362000090,1,31,301004
62006362000091,4,2,11004
62006362000094,4,3,12011
62006362000095,13,4,526181004
62006362000096,1,14,1322001009
62006362000103,6,5,425001004
62006362000104,5,3,3501004
62006362000106,0,1143,283993498
62006362000120,0,615,493815004
62006362000122,0,467,350793532
62006362000124,0,14,1862001004
62006362000126,4,56,40227008
62006362000129,0,186,818611004
62006362000132,0,1,1004
62006362000136,0,29,491601004
62006362000137,12,75,668686004
62006362000138,4,2,11004
62006362000140,2,115,53643504
62006362000143,1,44,813176004
62006362000149,0,67,247151004
62006362000150,0,221,2464761004
62006362000152,1,75,1971591704
62006362000155,0,183,191171004
62006362000156,0,252,357878004
62006362000157,12,1,1004
62006362000164,1,46,83353504
62006362000168,1,1,1004
62006362000172,1,139,595406004
62006362000177,0,38,11226004
62006362000180,1,3,26001004
62006362000181,0,42,49231004
62006362000183,28,17,4713004
62006362000184,1,21,201004
62006362000190,0,31,19783004
62006362000195,3,17,162061004
62006362000200,1,10,463246004
62006362000202,0,35,1352201004
62006362000207,3,25,2376001004
62006362000208,10,18,6203004
62006362000212,4,28,13001004
62006362000216,1,1,1004
62006362000219,0,69,115242013
62006362000221,0,108,86956004
62006362000222,0,47,43982009
62006362000224,19,100,27215004
62006362000225,0,74,307631004
62006362000226,1,14,15881004
62006362000229,2,6,430001004
62006362000230,0,211,135281004
62006362000234,2,19,45561004
62006362000237,4,7,17751004
62006362000239,0,452,73363004
62006362000240,0,9,325801004
62006362000245,0,260,207361004
62006362000247,0,154,859625004
62006362000249,6,20,529696004
62006362000253,4,14,325603157
62006362000257,0,36,579800000
62006362000259,1,74,354131004
62006362000260,13,14,237051004
62006362000263,1,27,1973902028
62006362000264,7,11,939085004
62006362000266,0,23,2234701004
62006362000267,0,62,1616670004
62006362000271,24,8,2000001004
62006362000273,20,26,16816004
62006362000280,5,1,1004
62006362000290,0,45,124044004
62006362000292,13,1,1004
62006362000294,0,158,1489021004
62006362000295,1,13,1023651004
62006362000297,1,1,1004
62006362000300,0,2,471004
62006362000301,19,3,79401004
62006362000302,1,15,1231001004
62006362000313,9,11,308201004
62006362000316,1,33,1877817004
62006362000319,0,12,457325004
62006362000325,0,696,2651672804
62006362000326,6,23,1446401004
62006362000330,11,1,1004
62006362000337,0,236,341201004
62006362000340,0,21,1291398004
62006362000346,0,445,231796004
62006362000348,2,2,250001004
62006362000356,0,120,151820504
62006362000359,1,28,129061004
62006362000366,1,16,24092004
62006362000367,0,78,54286004
62006362000369,1,9,127306004
62006362000370,1,9,225201004
62006362000380,0,47,212721004
62006362000385,0,98,130816004
62006362000386,12,4,3361004
62006362000390,8,1,1004
62006362000393,0,123,13719798
62006362000395,0,50,159301004
62006362000399,1,11,137402004
62006362000400,13,17,1757201004
62006362000401,5,17,10481004
62006362000403,12,48,35126004
62006362000406,1,15,1003348801
62006362000407,0,69,25836004
62006362000412,8,1,1004
62006362000416,3,28,515904004
62006362000428,0,25,1606871004
62006362000430,0,126,118731004
62006362000436,0,50,229201004
62006362000440,2,3,85701004
62006362000443,1,36,97121004
62006362000453,7,2,2011
62006362000454,0,28,11643004
62006362000455,1,114,88346004
62006362000460,4,2,11004
62006362000464,1,8,747001004
62006362000467,2,23,662351004
62006362000469,0,47,708801004
62006362000470,12,12,55001004
62006362000477,2,2,9001004
62006362000481,0,21,689278821
62006362000483,0,5,140661004
62006362000489,4,8,40452008
62006362000490,6,12,123901004
62006362000491,3,57,2432792186
62006362000492,2,14,13223004
62006362000501,0,34,13951004
62006362000516,4,11,2690000
62006362000523,0,80,1093792431
62006362000541,12,8,24481004
62006362000542,0,297,128711004
62006362000543,0,2,4931004
62006362000544,0,100,61241004
62006362000546,4,2,11004
62006362000547,4,2,11004
62006362000550,1,42,123541004
62006362000551,6,3,9811004
62006362000552,3,6,772008
62006362000553,6,6,35601004
62006362000558,0,24,70741004
62006362000561,0,270,1399876812
62006362000573,1,76,1099071004
62006362000580,0,9,228739004
62006362000584,5,11,309670000
62006362000589,28,5,2500000
62006362000590,1,8,371501004
62006362000591,8,4,333918004
62006362000592,1,60,79904004
62006362000593,3,16,40125004
62006362000596,7,66,324691004
62006362000602,2,5,1181004
62006362000603,28,1,1004
62006362000604,0,115,97361004
62006362000616,0,3,3010
62006362000619,0,39,854531004
62006362000620,0,18,298821004
62006362000636,0,64,1048669004
62006362000637,10,20,191004
62006362000642,1,12,45081004
62006362000643,22,1,1004
62006362000644,14,3,59001004
62006362000646,5,4,75351004
62006362000647,0,715,1329161004
62006362000650,0,6,350701004
62006362000655,0,4,35151004
62006362000656,0,126,1048243004
62006362000657,1,8,18671004
62006362000658,0,42,733843854
62006362000659,8,2,151004
62006362000662,0,5,428201004
62006362000665,0,79,215958504
62006362000666,0,53,48851004
62006362000674,5,24,7104171004
62006362000676,1,25,354633004
62006362000679,0,63,60918004
62006362000681,0,68,286284319
62006362000683,0,8,227001004
62006362000686,12,6,113803004
62006362000691,0,17,22674004
62006362000692,22,2,83301004
62006362000696,16,2,30001004
62006362000699,1,34,90680004
62006362000705,7,9,16001004
62006362000707,11,8,739851004
62006362000708,0,18,166445604
62006362000710,27,1,1004
62006362000711,0,114,10984280923
62006362000712,22,3,841004
62006362000716,3,16,819961004
62006362000719,15,1,1004
62006362000724,14,13,47041004
62006362000725,1,211,2357105004
62006362000728,19,11,451901004
62006362000729,0,9,1542286
62006362000731,0,10,426431004
62006362000736,0,117,59247017
62006362000739,1,16,85141004
62006362000740,12,6,202000000
62006362000741,1,64,168156004
62006362000742,0,96,30819000
62006362000743,4,5,42641004
62006362000744,4,23,227001004
62006362000748,1,21,111601004
62006362000749,2,19,802139374
62006362000750,27,1,1004
62006362000752,0,22,1031201004
62006362000753,0,127,208442604
62006362000757,0,23,100458004
62006362000758,3,12,1463051004
62006362000759,0,36,13831004
62006362000760,0,17,587063004
62006362000762,1,34,13051004
62006362000767,0,60,8013694090
62006362000769,5,21,393701004
62006362000770,6,1,1004
62006362000773,1,30,484661004
62006362000774,1,8,945004
62006362000779,0,1194,1259043824
62006362000780,1,34,1245512592
62006362000787,3,160,212551004
62006362000789,11,85,177957004
62006362000790,0,111,121846567
62006362000792,6,5,11190000
62006362000799,0,77,99681004
62006362000802,0,51,45671004
62006362000809,0,83,37846004
62006362000810,24,1,1004
62006362000814,0,152,42781004
