Merchantnumber,recency,frequency,monetary_value
062006362001040,1,271,157277012
062006362001072,3,353,2527090600
062006362001102,24,3,3012
062006362001112,1,720,132733012
062006362001113,1,988,962659012
062006362001114,1,477,2609408012
062006362001116,5,39,262540224
062006362001143,10,126,46084541
062006362001144,1,1235,125124012
062006362001149,9,17,31012
062006362001150,1,105,14051271472
062006362001157,7,23,10633012
062006362001161,3,36,2125138012
062006362001162,1,106,1848243012
062006362001164,3,98,6400543012
062006362001166,2,62,312193012
062006362001167,3,37,414890000
062006362001176,2,44,1373563163
062006362001177,2,9,526877008
062006362001180,3,321,1303030012
062006362001201,1,844,731632012
062006362001213,26,3,3012
062006362001227,1,139,3965823012
062006362001235,2,27,62753012
062006362001237,1,304,471612014
062006362001239,14,14,2138012
062006362001241,1,44,205052008
062006362001249,3,189,34168371
062006362001252,1,287,130313012
062006362001261,3,44,290823012
062006362001262,1,282,265003262
062006362001275,1,79,1177603012
062006362001280,7,45,1196262616
062006362001281,7,18,611529036
062006362001285,1,90,69753012
062006362001319,21,5,4016
062006362001320,7,21,262763012
062006362001334,3,3,3012
062006362001350,9,11,4073012
062006362001368,1,570,3018823012
062006362001389,1,167,640046012
062006362001394,1,601,337110021
062006362001398,1,1103,599087095
062006362001400,1,851,201189012
062006362001404,3,37,2603012
062006362001408,1,127,932634024
062006362001425,3,99,1413783012
062006362001431,1,28,74193012
062006362001454,7,20,689013012
062006362001457,19,18,14003012
062006362001459,4,23,457029016
062006362001467,9,17,962763012
062006362001470,1,163,117580021
062006362001472,21,16,123243012
062006362001478,1,389,218723012
062006362001485,1,1454,3271688021
062006362001506,3,39,2738012
062006362001525,17,19,159503012
062006362001534,8,1822,395627016
062006362001548,7,37,2017012
062006362001551,1,55,118283012
062006362001553,1,55,4829962493
062006362001567,1,146,84482008
062006362001568,1,27,104886012
062006362001570,3,189,34359512
062006362001571,21,13,66004012
062006362001578,36,1,1004
062006362001579,3,15,344010000
062006362001583,1,70,1086292186
062006362001585,1,104,23227012
062006362001587,1,253,192365012
062006362001598,1,328,96479012
062006362001602,1,597,235183012
062006362001618,1,869,300618012
062006362001627,1,265,562048012
062006362001636,3,15,1857953012
062006362001641,1,82,239611624
062006362001656,15,41,4019003012
062006362001658,1,7,3012
062006362001664,9,636,3670441562
062006362001668,1,118,1938919962
062006362001672,1,90,31913012
062006362001673,22,4,4016
062006362001678,4,195,229723012
062006362001687,4,189,1908123012
062006362001690,1,247,47513012
062006362001691,5,41,614821521
062006362001693,3,23,14803012
062006362001715,1,89,424596384
062006362001721,3,83,75770012
062006362001725,1,742,772263021
062006362001728,4,29,5405021
062006362001737,1,33,56563012
062006362001743,26,4,4017
062006362001747,3,141,9360912
062006362001855,1,95,116604024
062006362001864,2,113,279363012
062006362001870,1,556,4129383012
062006362001883,1,113,60513012
062006362001886,5,10,200604012
062006362001890,1,314,33404012
062006362001891,1,336,117813012
062006362001896,5,17,102553012
062006362001897,2,5,2803012
062006362001933,7,56,32551016
062006362001941,6,16,363524012
062006362001943,1,407,105728012
062006362001951,30,11,1403012
062006362001952,1,763,983014017
062006362001957,5,440,1559933012
062006362001963,6,100,8173012
062006362001978,2,109,71023012
062006362001983,1,87,1591310734
062006362001988,1,429,61840512
062006362001991,3,63,6925012
062006362002006,28,3,3012
062006362002020,10,157,457892018
062006362002021,5,110,4338970000
062006362002027,26,12,60403012
062006362002036,4,173,236733012
062006362002038,1,38,34178012
062006362002039,1,151,271878012
062006362002050,1,105,757103012
062006362002055,3,267,59309021
062006362002073,9,3,3012
062006362002075,1,47,160023012
062006362002091,1,112,10227012
062006362002099,2,56,238907013
062006362002101,3,84,2962645412
062006362002102,1,3306,3615982666
062006362002104,1,57,972054022
062006362002105,1,80,163892230
062006362002112,2,50,109887012
062006362002122,9,1,1004
062006362002128,4,707,488181012
062006362002132,7,86,27143012
062006362002133,2,212,53239012
062006362002138,4,23,332138012
062006362002146,4,101,21144012
062006362002149,1,203,86755412
062006362002150,1,216,45277512
062006362002155,1,325,174603012
062006362002156,4,55,16403012
062006362002181,12,239,172728012
062006362002191,3,40,42650512
062006362002207,25,15,412505022
062006362002212,19,20,1133012
062006362002213,1,88,63081604
062006362002221,1,154,17833012
062006362002222,1,49,10583012
062006362002224,5,117,8429016
062006362002234,11,32,24218012
062006362002246,4,168,25771467
062006362002248,8,13,65016
062006362002249,1,124,320614112
062006362002251,1,83,11656012
062006362002254,1,98,92993020
062006362002256,1,429,266543012
062006362002260,2,216,172464016
062006362002264,4,123,47203012
062006362002286,1,49,7303012
062006362002295,21,3,3012
062006362002296,3,37,472713012
062006362002319,3,37,7150017
062006362002332,3,3,3012
062006362002335,13,877,53084912
062006362002337,2,506,71528708
062006362002345,2,45,358879014
062006362002346,3,22,1053300000
062006362002350,1,96,92938924
062006362002352,1,257,10221057028
062006362002354,3,43,1659310040
062006362002355,3,38,1152131004
062006362002356,7,16,35164885
062006362002360,1,1909,1089747983
062006362002362,2,132,600992866
062006362002363,61,2,2008
062006362002368,23,50,9197503012
062006362002377,1,183,136847012
062006362002385,1,18,128113012
062006362002389,19,23,675013012
062006362002390,1,280,336185008
062006362002392,7,31,8618012
062006362002393,3,227,14464739726
062006362002394,1,204,2751984012
062006362002398,1,380,87970612
062006362002402,3,316,653543050
062006362002419,1,13,24403012
062006362002422,5,85,1707168012
062006362002423,2,94,1183214012
062006362002431,4,155,1228549052
062006362002447,2,67,282908567
062006362002448,1,126,325391012
062006362002464,1,1128,308134012
062006362002466,1,340,88519012
062006362002497,28,10,40262008
062006362002502,9,24,271903012
062006362002506,1,282,1899443012
062006362002511,26,3,3012
062006362002540,1,65,783012
062006362002541,1,104,26833012
062006362002551,5,19,16558701
062006362002574,1,429,65739016
062006362002575,1,205,72865012
062006362002595,3,58,27083012
062006362002597,60,2,2008
062006362002608,12,13,1743352286
062006362002609,5,67,245180017
062006362002613,7,81,36830512
