Merchantnumber,recency,frequency,monetary_value
62001420300002,16,1,2400000
62001810100003,0,11,26281000
62001820100006,1,1,1012
62001821200001,22,1,1004
62001821400002,2,39,121761004
62001823200001,1,4,52202008
62001823700002,1,2,11004
62001824200001,1,9,116028000
62001824900001,1,69,326206043
62006362000035,0,28,153001004
62006362000038,0,13,10301004
62006362000039,0,32,202441004
62006362000040,0,47,1661750000
62006362000046,0,19,1883116004
62006362000052,0,313,531072504
62006362000053,2,20,46127004
62006362000058,0,5,597002009
62006362000062,2,17,1684768004
62006362000063,1,12,793113004
62006362000064,3,24,862801004
62006362000066,2,9,363262008
62006362000070,1,10,241105910
62006362000073,19,2,61004
62006362000076,13,25,223371004
62006362000077,0,110,421515020
62006362000079,0,78,162050000
62006362000082,8,5,770001004
62006362000084,0,4,13020
62006362000086,0,4,13020
62006362000087,1,20,1881397754
62006362000089,3,7,583934509
62006362000090,3,6,215002006
62006362000095,4,13,2566501004
62006362000103,4,2,100001004
62006362000106,0,1502,286725004
62006362000120,2,26,165486004
62006362000122,0,364,242451004
62006362000124,1,5,422551004
62006362000129,0,133,212931004
62006362000136,19,5,15763004
62006362000137,6,2,11004
62006362000143,0,25,247720006
62006362000149,0,35,188601004
62006362000150,0,370,1391522004
62006362000152,2,19,218678004
62006362000155,14,43,26458015
62006362000156,0,41,108501004
62006362000164,1,25,329331004
62006362000172,19,84,48816004
62006362000177,1,65,86310004
62006362000180,0,5,154001004
62006362000183,0,81,25463004
62006362000190,3,14,12607000
62006362000195,4,32,143695000
62006362000200,2,7,406557004
62006362000207,1,27,2572001004
62006362000208,6,26,4355504
62006362000216,2,23,6543028
62006362000219,0,86,106449004
62006362000221,0,72,60351008
62006362000222,0,53,87691004
62006362000224,0,218,58947504
62006362000225,13,2,2009
62006362000226,9,13,20359082
62006362000229,6,2,11004
62006362000234,1,13,8081004
62006362000237,1,6,2881004
62006362000239,0,115,17959009
62006362000240,10,6,63460000
62006362000245,20,1,1004
62006362000247,0,130,1095185504
62006362000249,8,1,1004
62006362000253,2,10,11057972
62006362000257,0,3,6001004
62006362000259,0,47,600971004
62006362000260,4,10,845000000
62006362000263,0,17,2121700009
62006362000264,24,1,1004
62006362000266,0,18,1191701004
62006362000267,0,53,1348714004
62006362000271,11,8,1250003013
62006362000273,1,12,8021004
62006362000290,0,61,146802008
62006362000295,1,14,372601004
62006362000300,1,2,441004
62006362000302,12,17,589000000
62006362000313,0,25,874001004
62006362000316,1,19,475211004
62006362000319,20,1,1004
62006362000326,3,17,1314802009
62006362000330,3,1,1004
62006362000337,0,146,309351004
62006362000340,1,20,952971004
62006362000346,0,101,48835000
62006362000348,1,2,11004
62006362000356,0,121,114463504
62006362000359,0,40,28143013
62006362000366,2,24,41266004
62006362000367,1,57,61511004
62006362000369,7,13,180251004
62006362000370,0,9,136201004
62006362000385,0,130,195298004
62006362000386,0,9,49001004
62006362000390,13,1,1004
62006362000395,0,83,276430000
62006362000399,0,31,1014700000
62006362000400,3,13,757701004
62006362000406,0,7,405516004
62006362000407,0,84,54755000
62006362000412,1,4,1300001004
62006362000416,0,32,1604240604
62006362000418,25,10,89120000
62006362000428,0,20,2044001004
62006362000436,0,4,13015
62006362000440,1,4,13020
62006362000443,0,76,87982008
62006362000454,4,20,12661004
62006362000455,0,57,53698004
62006362000464,1,18,1598501000
62006362000467,2,37,975251004
62006362000469,1,38,720211004
62006362000470,1,2,2024
62006362000477,6,2,11004
62006362000481,9,5,255101004
62006362000483,9,5,200001004
62006362000489,10,1,1004
62006362000490,0,215,163070000
62006362000491,0,38,183763406
62006362000492,1,329,1154798004
62006362000501,0,34,20281004
62006362000523,0,1,1004
62006362000541,3,3,1077804
62006362000542,0,160,82701004
62006362000543,0,33,153971004
62006362000544,0,80,35201004
62006362000550,0,72,630911004
62006362000551,0,1,1004
62006362000552,6,9,117274024
62006362000558,0,60,161010000
62006362000561,21,1,1004
62006362000573,0,49,703511004
62006362000580,3,2,352751004
62006362000584,3,2,2007
62006362000590,1,31,1979683616
62006362000591,3,9,796341004
62006362000592,0,25,31543004
62006362000596,0,69,33767008
62006362000603,18,259,84998004
62006362000604,0,19,23972009
62006362000616,2,1,1004
62006362000619,0,58,199800000
62006362000620,8,10,301661004
62006362000636,3,1,1004
62006362000637,18,1,1004
62006362000642,6,10,13988504
62006362000644,13,1,1004
62006362000646,20,1,1004
62006362000650,8,6,416001004
62006362000655,13,1,1004
62006362000656,0,57,177991004
62006362000657,6,7,26181004
62006362000658,0,79,1821356004
62006362000662,0,10,1160271004
62006362000665,0,45,62456404
62006362000666,23,5,1556004
62006362000674,1,11,2707909394
62006362000676,0,9,630651004
62006362000679,0,86,74681604
62006362000681,2,24,22717178
62006362000683,0,38,88100504
62006362000686,6,2,1201004
62006362000691,0,28,378699004
62006362000692,1,6,248511004
62006362000696,20,1,1004
62006362000699,14,3,621004
62006362000708,7,2,70001004
62006362000710,8,1,1004
62006362000711,0,98,14508917636
62006362000716,1,12,1778581004
62006362000729,2,9,288003009
62006362000731,24,1,1004
62006362000736,0,59,62932004
62006362000739,9,81,135611004
62006362000740,1,8,362001004
62006362000741,0,37,143723009
62006362000742,17,3,3018
62006362000743,3,11,95105004
62006362000744,1,2,11004
62006362000748,23,5,24020
62006362000749,1,39,1598882009
62006362000752,0,36,1243558004
62006362000753,0,78,96120804
62006362000757,0,26,340262004
62006362000758,3,9,735001004
62006362000759,0,31,9231004
62006362000760,0,12,1394301004
62006362000767,1,89,12120191389
62006362000769,2,16,421914004
62006362000773,2,25,812751004
62006362000779,0,496,606721908
62006362000780,11,2,2011
62006362000787,0,204,337001004
62006362000790,0,85,115671342
62006362000799,3,40,52491004
62006362000802,0,329,280468004
62006362000814,0,188,114586004
62006362000824,0,10,631551004
62006362000827,0,211,1788408008
62006362000831,0,10,4536004
62006362000833,17,2,42000000
62006362000837,2,13,810904024
62006362000863,0,21,193600004
62006362000869,4,1,1000
62006362000870,22,4,13321004
62006362000872,1,6,4451004
62006362000902,29,1,1004
62006362000912,0,41,7913020
62006362000913,0,6,172876004
62006362000925,18,10,27901004
62006362000940,16,161,8220633013
62006362000948,4,10,2814014
62006362000957,1,1,1004
62006362000962,1,1,1004
62006362000963,1,36,56295016
62006362000964,14,6,18601004
62006362000969,8,2,2008
62006362000970,0,68,967961004
62006362001000,1,45,717229939
62006362001001,3,36,149716004
62006362001012,0,33,51661004
62006362001017,20,1,1004
62006362001018,21,1,1004
62006362001024,1,49,2019132008
62006362001025,0,8,440181004
62006362001040,0,73,30403004
62006362001072,0,42,991711004
62006362001099,17,5,71300000
62006362001110,22,1,1004
62006362001112,0,72,34829004
62006362001113,9,27,19316004
62006362001114,5,737,684948704
62006362001116,9,3,7501004
62006362001143,7,4,101066004
62006362001144,9,10,12203009
62006362001149,1,4,4131004
62006362001150,0,20,3001381004
62006362001157,29,1,1004
62006362001161,1,3,1002008
62006362001162,0,20,459711004
62006362001164,0,23,2184502009
62006362001166,0,18,65353012
62006362001167,0,5,350900000
62006362001168,15,1,1004
62006362001176,5,10,981001004
62006362001177,0,28,14308013
62006362001180,0,111,270850004
62006362001197,20,1,1004
62006362001201,0,34,140404004
62006362001213,17,1,1004
62006362001220,0,1,10000
62006362001226,0,4,13019
62006362001227,0,46,1581300000
62006362001235,6,12,21047164
62006362001237,0,83,81471004
62006362001239,1,15,12023004
62006362001241,0,91,185590000
62006362001249,0,38,10814004
62006362001252,0,80,25341004
62006362001261,9,15,6931004
62006362001262,0,594,291532254
62006362001275,0,14,74900000
62006362001280,0,179,877783517
62006362001282,7,23,62194020
62006362001285,0,185,188561004
62006362001319,0,10,19372004
62006362001320,1,19,183845028
62006362001334,0,1,1004
62006362001350,0,16,10203008
62006362001389,0,15,70141004
62006362001394,0,133,89141004
62006362001398,0,251,199991902
62006362001400,0,238,23262004
62006362001401,7,160,7054813
62006362001404,10,5,2251004
62006362001408,0,31,319251004
62006362001425,1,11,61902008
62006362001431,2,9,12552000
62006362001445,0,503,909002009
62006362001454,3,3,20002008
62006362001457,3,2,11004
62006362001459,17,5,4031004
62006362001470,0,117,110441004
62006362001472,6,3,12008
62006362001478,0,114,164041004
62006362001485,0,431,589427008
62006362001493,6,3,12008
62006362001506,15,1,1004
62006362001525,3,1,1004
62006362001534,2,155,22699892
62006362001540,1,1,1002
62006362001546,1,42,24539004
62006362001548,6,6,137004
62006362001551,2,12,22981004
62006362001553,0,31,1565166073
62006362001567,0,5,3008020
62006362001568,1,21,104832004
62006362001570,0,62,10575500
62006362001571,0,2,11004
62006362001578,6,4,61901004
62006362001579,17,3,3009
62006362001583,1,17,117401004
62006362001585,2,39,3486004
62006362001587,0,68,48221004
62006362001589,15,1,1004
62006362001598,0,4,506004
62006362001602,0,127,51556030
62006362001618,3,1,1004
62006362001627,0,29,11256004
62006362001636,24,1,1004
62006362001641,0,23,21381004
62006362001656,8,10,498001004
62006362001658,1,2,11004
62006362001664,0,34,558651004
62006362001668,0,9,65612016
62006362001672,3,31,12652008
62006362001673,1,65,7767004
62006362001678,0,20,28461004
62006362001687,12,5,36501004
62006362001690,0,43,3531004
62006362001691,1,12,215721004
62006362001693,0,2,1501004
62006362001715,0,19,317502008
62006362001721,1,22,6541004
62006362001725,1,176,123490004
62006362001727,9,4,301004
62006362001728,13,10,3452004
62006362001737,1,18,26471004
62006362001743,18,4,161004
62006362001747,2,52,3249508
62006362001847,0,12097,1556299166
62006362001855,0,10,6492008
62006362001864,3,3,1571004
62006362001870,1,55,996211004
62006362001883,0,39,84350000
62006362001886,7,5,5201004
62006362001890,0,56,5406004
62006362001891,0,67,26160000
62006362001897,0,28,119711004
62006362001933,2,3,302008
62006362001941,2,2,160001004
62006362001943,3,25,2904020
62006362001951,10,2,91004
62006362001952,18,45,40950000
62006362001957,0,14,381951004
62006362001963,0,61,14531004
62006362001978,1,34,34241004
62006362001983,3,38,650785055
62006362001988,0,61,24491009
62006362001989,22,31,7257004
62006362001991,20,1,1004
62006362002006,0,4,42016
62006362002015,0,4,13015
62006362002016,6,1,1004
62006362002020,21,8,11421004
62006362002021,0,49,1607664023
62006362002026,29,1,1004
62006362002027,16,13,20701004
62006362002036,0,7,3181004
62006362002038,2,7,1588504
62006362002039,0,37,82111004
62006362002047,17,3,3009
62006362002050,0,27,34001004
62006362002055,0,272,70800004
62006362002073,0,34,33251004
62006362002075,27,1,1004
62006362002091,0,84,4560009
62006362002099,2,47,17083004
62006362002101,1,45,1283480386
62006362002102,0,872,1254198008
62006362002104,1,12,149471004
62006362002105,0,22,23834014
62006362002108,20,3,3009
62006362002112,2,4,2651004
62006362002122,0,1,1004
62006362002128,0,247,167796004
62006362002132,2,12,6101004
62006362002133,0,51,8531004
62006362002138,3,8,120621004
62006362002140,3,1,1004
62006362002146,2,50,13591004
62006362002149,0,78,174375000
62006362002150,0,70,15033004
62006362002153,18,3,3009
62006362002155,0,68,171431004
62006362002156,7,4,901004
62006362002173,2,2,2016
62006362002181,0,43,32194014
62006362002183,29,1,1004
62006362002191,1,1,1004
62006362002207,0,2,11004
62006362002212,0,22,10545004
62006362002213,0,28,15501004
62006362002221,3,36,8276004
62006362002222,14,10,7736004
62006362002224,29,6,59004
62006362002234,14,1,1004
62006362002246,0,80,17898004
62006362002248,8,2,21004
62006362002249,0,52,158263242
62006362002251,0,85,4130004
62006362002254,0,50,29501004
62006362002256,2,7,9331004
62006362002260,0,103,60305004
62006362002264,1,14,13756004
62006362002284,1,197,65081004
62006362002285,0,77,112956004
62006362002286,27,1,1004
62006362002296,1,26,148191004
62006362002319,2,133,117361004
62006362002335,0,177,11773004
62006362002337,0,44,7163004
62006362002346,6,2,11004
62006362002350,0,164,124524504
62006362002352,0,58,1846502008
62006362002354,3,4,691001004
62006362002356,6,2,11004
62006362002360,0,696,435907016
62006362002362,0,29,187281004
62006362002363,1,1,1004
62006362002367,0,2,11004
62006362002368,0,33,10959892004
62006362002372,6,2,11004
62006362002377,0,26,21995007
62006362002385,0,112,682321004
62006362002389,1,3,20002016
