Merchantnumber,recency,frequency,monetary_value
62001420300002,6,3,3021
62001810100003,4,9,9855504
62001821200001,0,2,2008
62001821400002,1,20,163759032
62001823000001,13,3,3023
62001823200001,8,7,362002007
62001824200001,21,14,11283074
62001824900001,0,66,389266004
62006362000035,0,41,317201004
62006362000038,0,5,4032016
62006362000039,1,16,43003020
62006362000040,0,17,589851004
62006362000046,0,18,1372556384
62006362000052,0,179,507103004
62006362000053,1,13,179598879
62006362000055,13,3,3018
62006362000058,6,4,108755016
62006362000062,0,10,1546572016
62006362000063,1,8,371381004
62006362000064,2,13,1307003020
62006362000066,1,27,438437826
62006362000070,26,2,2016
62006362000073,5,4,133020
62006362000076,0,25,117284025
62006362000077,0,54,290453603
62006362000079,0,1,1004
62006362000082,0,9,227991004
62006362000087,1,20,1620018860
62006362000089,4,11,459696004
62006362000090,15,3,13000000
62006362000095,28,2,2016
62006362000103,6,3,180013000
62006362000106,0,649,162095754
62006362000120,2,24,114701004
62006362000122,4,5,1004033
62006362000124,2,12,1655354029
62006362000126,0,6,20243020
62006362000129,0,101,125905031
62006362000136,0,19,3274020
62006362000137,22,3,3010
62006362000149,0,21,59063028
62006362000150,1,221,1006342500
62006362000152,4,33,196083021
62006362000155,0,309,502930000
62006362000156,2,5,1363020
62006362000164,0,8,5881004
62006362000172,0,57,51758020
62006362000177,1,97,25427009
62006362000180,6,2,2009
62006362000181,1,2,2008
62006362000190,0,1,1004
62006362000195,0,18,88231004
62006362000200,6,13,479305028
62006362000202,13,1,1004
62006362000207,2,12,756022016
62006362000208,0,5,264520
62006362000219,0,115,128592000
62006362000221,0,61,48732009
62006362000222,0,36,87751004
62006362000224,2,430,100848504
62006362000225,6,1,1004
62006362000226,2,3,3020
62006362000234,1,7,1753021
62006362000237,1,2,18501004
62006362000239,14,2,2009
62006362000240,0,1,1004
62006362000245,5,1,1004
62006362000247,0,305,2422855616
62006362000249,16,3,12009
62006362000253,26,2,2001004
62006362000257,16,18,276100000
62006362000259,1,31,258991004
62006362000260,0,1,1004
62006362000263,0,22,1046751004
62006362000264,27,7,472706004
62006362000266,0,12,657921004
62006362000267,0,19,518780000
62006362000271,23,4,970000000
62006362000273,0,1,1004
62006362000290,0,34,72801029
62006362000294,0,4,4024
62006362000295,2,9,110800000
62006362000302,0,1,1004
62006362000313,15,11,95301004
62006362000316,0,36,893526004
62006362000325,21,4,4021
62006362000326,0,21,1362522009
62006362000330,15,2,2016
62006362000337,0,136,369271004
62006362000340,2,11,1000911004
62006362000346,1,102,56634021
62006362000356,0,137,134937004
62006362000359,0,52,81795031
62006362000366,3,28,27777016
62006362000367,0,30,38123020
62006362000369,1,3,3018
62006362000370,3,8,42603020
62006362000385,0,78,74063020
62006362000386,1,4,5003009
62006362000390,15,2,2008
62006362000395,1,49,162704021
62006362000399,0,8,82004014
62006362000400,10,9,522001012
62006362000401,25,1,1004
62006362000407,1,67,24631004
62006362000412,1,15,1930012116
62006362000416,1,17,4536483349
62006362000418,0,45,1029637182
62006362000428,3,23,1538682007
62006362000436,1,2,2016
62006362000440,7,1,1004
62006362000443,0,113,101061004
62006362000454,0,20,6294009
62006362000455,0,36,30479009
62006362000464,1,11,669001004
62006362000467,1,16,276306041
62006362000469,1,19,229904032
62006362000481,4,13,71682008
62006362000483,5,1,1004
62006362000489,0,7,173003020
62006362000490,0,172,174263020
62006362000491,1,2,2016
62006362000492,0,368,366973036
62006362000501,0,2,2016
62006362000523,0,69,1182030000
62006362000541,12,3,3028
62006362000542,0,54,26428028
62006362000543,1,2,2016
62006362000544,0,14,6063020
62006362000550,0,46,313250000
62006362000551,5,1,40000000
62006362000558,0,33,112933012
62006362000561,22,2,7201004
62006362000573,0,66,1884102004
62006362000580,0,18,4316281004
62006362000584,4,1,1002
62006362000590,2,6,312711004
62006362000592,0,111,28404009
62006362000596,0,71,31486004
62006362000603,27,1,1004
62006362000604,14,2,2009
62006362000616,13,2,2008
62006362000619,0,74,199660924
62006362000620,0,10,126111004
62006362000637,28,1,1004
62006362000642,0,19,30191004
62006362000644,1,1,1004
62006362000655,1,3,3004
62006362000656,0,1,1004
62006362000657,6,5,17203014
62006362000658,0,60,2090165008
62006362000662,25,3,100002016
62006362000665,0,1,1004
62006362000666,2,4,1022009
62006362000674,1,12,2103501004
62006362000676,1,14,593701004
62006362000679,0,74,51966004
62006362000681,0,20,17503013
62006362000683,0,44,303021004
62006362000691,1,3,222009
62006362000692,12,2,21004
62006362000699,7,1,1004
62006362000705,13,1,1004
62006362000707,14,1,1004
62006362000710,14,1,1004
62006362000711,0,61,6936344813
62006362000716,2,7,100001004
62006362000725,14,1,1004
62006362000731,1,1,1004
62006362000736,0,57,42106004
62006362000739,0,69,149762016
62006362000742,22,1,1002
62006362000743,4,8,104354007
62006362000749,0,195,1742904004
62006362000752,0,19,783104024
62006362000753,0,131,320434700
62006362000757,0,15,73423020
62006362000758,1,7,1051001004
62006362000759,1,18,6973020
62006362000760,7,7,35783020
62006362000767,0,100,16048247513
62006362000769,0,20,345651004
62006362000773,0,7,5343021
62006362000779,0,351,770020780
62006362000780,0,631,96169016
62006362000787,0,116,169101004
62006362000789,1,4,4035
62006362000799,0,59,69641004
62006362000802,0,53,38541004
62006362000809,23,1,1004
62006362000814,0,21,7730020
62006362000824,15,6,256001004
62006362000827,0,195,1958207000
62006362000863,1,23,83543028
62006362000869,1,3,3028
62006362000870,0,17,34877500
62006362000872,2,15,47403020
62006362000878,23,11,103379000
62006362000902,2,3,3028
62006362000913,5,5,189010000
62006362000925,0,7,5533009
62006362000957,2,1,1004
62006362000962,13,1,1004
62006362000963,0,23,22429230
62006362000964,15,8,25001004
62006362000969,13,6,836461004
62006362000970,0,35,384472004
62006362001000,0,16,1466315887
62006362001001,0,39,131141004
62006362001012,2,7,9851004
62006362001017,4,5,3603028
62006362001024,0,38,1549991004
62006362001025,0,8,55852008
62006362001040,0,107,69940004
62006362001072,0,7,105812016
62006362001099,14,11,1134014253
62006362001102,6,6,3501004
62006362001112,0,33,2833008
62006362001113,1,15,14697016
62006362001114,0,668,962675216
62006362001116,1,3,24051004
62006362001120,25,3,3023
62006362001150,0,31,7072926000
62006362001157,6,1,1004
62006362001161,13,1,1004
62006362001162,1,15,591281004
62006362001164,20,1,1004
62006362001166,0,1,1004
62006362001167,4,5,5804021
62006362001168,14,1,1004
62006362001176,2,4,16002009
62006362001177,15,7,3751004
62006362001180,0,88,213037004
62006362001201,0,78,148378008
62006362001213,2,3,75002016
62006362001220,12,3,3019
62006362001226,2,1,1004
62006362001227,1,42,1097301004
62006362001235,4,31,11001004
62006362001237,1,66,58802016
